/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Age model of ODP Hole 108-659A in the North Atlantic, doi:10.1594/PANGAEA.52516,
	In Supplement to: Tiedemann, Ralf; Sarnthein, Michael; Shackleton, Nicholas J (1994): Astronomic timescale for the Pliocene Atlantic d18O and dust flux records of Ocean Drilling Program site 659, Paleoceanography, 9(4), 619-638, doi:10.1029/94PA00208
Project(s):	Paleoceanology, Leibnitz Institute for Marine Research (GEOMARPal)
	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: -21.0262 * EAST: -21.0262 * SOUTH: 18.0772 * NORTH: 18.0772
	DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 149.2 m
Event(s):	108-659A * LATITUDE: 18.0772 * LONGITUDE: -21.0262 * ELEVATION: -3082.0 m * DATE/TIME: 1986-03-09T09:30:00 * DATE/TIME 2: 1986-03-11T05:30:00 * RECOVERY: 174.90 m * PENETRATION: 273.80 m * LOCATION: North Atlantic * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 29 cores; 273.8 m cored; 0 m drilled; 63.9 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: Intercore correlation * COMMENT: Between-hole correlations are based on magnetic susceptibility data (Bloemendahl et al., 1988). Original depth values have been corrected for voids when occurring within sediment cores (length of sediment core equals total length of sediment core minus length of voids).
	Age model [ka] (Age model) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: Age model, Shackleton et al. (1990, Roy Soc Edinburg, Earth Science 81:251-261)
Size:	442 data points
*/
Depth [m]	Depth c [mcd]	Age model [ka]
50.27	50.27	1743.00
50.70	50.70	1755.00
51.13	51.13	1770.00
52.13	52.13	1799.00
52.63	52.63	1821.00
53.12	53.12	1843.00
53.90	53.90	1864.00
54.23	54.23	1882.00
54.53	54.53	1894.00
55.29	55.29	1915.00
55.90	55.90	1936.00
56.68	56.68	1958.00
58.09	58.09	2012.00
59.09	59.09	2042.00
59.70	59.70	2068.00
60.24	60.24	2086.00
60.68	60.68	2107.00
61.35	61.35	2129.00
62.19	62.19	2151.00
62.57	62.57	2176.00
63.72	63.72	2201.00
64.35	64.35	2222.00
65.22	65.22	2245.00
66.49	66.49	2293.00
67.25	67.25	2316.00
68.08	68.08	2336.00
68.62	68.62	2359.00
69.65	69.65	2384.00
70.10	70.10	2411.00
70.51	70.51	2425.00
71.29	71.29	2446.00
72.80	72.80	2490.00
73.10	73.10	2506.00
73.70	73.70	2528.00
74.47	74.47	2549.00
75.70	75.70	2580.00
75.83	75.83	2592.00
75.89	75.89	2625.00
76.85	76.85	2650.00
78.75	78.75	2695.00
79.42	79.42	2718.00
79.80	79.80	2741.00
80.75	80.75	2766.00
81.27	81.27	2786.00
82.02	82.02	2823.00
82.77	82.77	2844.00
83.39	83.39	2864.00
84.10	84.10	2892.00
84.85	84.85	2915.00
85.59	85.59	2937.00
86.06	86.06	2959.00
86.62	86.62	2981.00
87.31	87.31	3007.00
87.99	87.99	3030.00
88.79	88.79	3052.00
89.67	89.67	3074.00
90.13	90.13	3096.00
90.97	90.97	3123.00
91.63	91.63	3146.00
92.27	92.27	3167.00
92.93	92.93	3188.00
94.19	94.19	3241.00
94.63	94.63	3262.00
95.27	95.27	3279.00
95.76	95.76	3291.30
96.81	96.81	3314.50
97.47	97.47	3338.00
98.29	98.29	3359.00
98.80	98.80	3391.00
99.18	99.18	3411.00
100.09	100.09	3453.00
101.57	101.57	3526.00
102.18	102.18	3548.00
102.66	102.66	3567.00
103.09	103.09	3587.00
103.42	103.42	3604.00
104.05	104.05	3623.00
104.58	104.58	3643.00
104.94	104.94	3661.00
105.48	105.48	3680.00
106.02	106.02	3698.00
106.54	106.54	3720.00
106.98	106.98	3740.00
107.48	107.48	3764.00
107.95	107.95	3792.00
108.24	108.24	3813.00
108.68	108.68	3835.00
109.38	109.38	3855.00
110.03	110.03	3884.00
110.81	110.81	3906.00
111.18	111.18	3929.00
111.92	111.92	3950.00
112.80	112.80	3970.00
113.19	113.19	4004.00
113.73	113.73	4023.00
114.19	114.19	4046.00
115.62	115.62	4100.00
116.13	116.13	4120.00
116.91	116.91	4141.00
118.11	118.11	4169.00
118.76	118.76	4193.00
119.60	119.60	4215.00
120.61	120.61	4235.00
121.76	121.76	4258.00
122.76	122.76	4285.00
123.33	123.33	4308.00
123.73	123.73	4329.00
124.47	124.47	4350.00
125.87	125.87	4384.00
126.48	126.48	4401.00
127.06	127.06	4425.00
127.85	127.85	4461.00
128.63	128.63	4480.00
129.19	129.19	4502.00
129.56	129.56	4524.00
129.82	129.82	4550.00
130.42	130.42	4573.00
131.06	131.06	4595.00
131.65	131.65	4618.00
132.24	132.24	4641.00
132.57	132.57	4665.00
133.44	133.44	4686.00
134.20	134.20	4710.00
135.40	135.40	4758.00
136.80	136.80	4799.00
137.88	137.88	4835.00
139.28	139.28	4878.00
139.86	139.86	4909.00
140.29	140.29	4928.00
140.71	140.71	4951.00
141.12	141.12	4973.00
142.07	142.07	4997.00
143.89	143.89	5043.00
145.37	145.37	5087.00
147.37	147.37	5159.00
149.23	149.23	5220.00
