/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Stable oxygen isotope ratios of Cibicidoides wuellerstorfi from ODP Hole 108-659A in the North Atlantic, doi:10.1594/PANGAEA.52517,
33.42	3.17
33.46	2.89
33.59	2.89
33.71	3.15
33.92	3.27
33.98	3.13
34.07	3.08
34.12	3.28
34.25	4.03
34.36	3.08
34.47	3.19
34.56	3.34
34.73	3.18
34.89	3.06
35.04	2.75
35.14	3.21
35.27	2.97
35.38	2.69
35.49	2.72
35.62	2.96
35.74	2.45
35.86	2.62
35.97	2.81
36.11	3.30
36.28	3.45
36.38	3.51
36.53	4.05
36.61	3.93
36.75	3.07
36.81	3.06
36.94	3.50
37.11	2.88
37.24	2.47
37.34	2.48
37.47	2.68
37.54	3.56
37.61	3.86
37.73	3.68
37.74	3.37
37.89	2.96
37.93	3.22
38.13	3.28
38.21	2.64
38.35	2.73
38.47	2.73
38.58	3.24
38.61	3.09
38.78	3.67
38.86	3.54
38.99	3.06
39.10	3.29
39.19	3.67
39.35	3.07
39.47	2.87
39.85	2.45
39.97	2.60
40.08	3.10
40.21	2.98
40.36	3.61
40.49	3.36
40.69	3.64
40.85	2.98
40.97	2.07
41.06	3.22
41.23	2.33
41.35	2.57
41.47	2.85
41.58	3.35
41.71	3.55
41.86	3.66
41.99	2.35
42.09	2.49
42.19	2.79
42.35	2.75
42.73	2.73
42.85	2.65
42.97	2.52
43.08	2.68
43.21	2.66
43.36	3.70
43.49	3.55
43.59	3.21
43.69	3.77
43.85	3.27
44.23	2.62
44.36	2.63
44.58	3.19
44.71	3.04
44.73	3.51
44.86	3.98
44.99	3.33
45.09	3.35
45.19	3.22
45.35	2.99
45.40	3.19
45.53	2.88
45.64	4.16
45.75	3.19
45.82	3.51
45.91	3.43
46.02	3.26
46.14	2.63
46.20	3.23
46.27	3.24
46.39	3.07
46.54	3.85
46.68	2.70
46.73	2.80
46.79	3.02
46.92	3.24
47.03	3.02
47.13	2.87
47.26	3.30
47.41	2.87
47.53	2.64
47.65	2.92
47.70	3.32
47.77	3.78
47.93	3.35
48.03	3.42
48.19	3.75
48.21	3.54
48.27	3.74
48.32	3.34
48.38	2.89
48.43	2.82
48.49	3.18
48.54	2.93
48.63	2.85
48.77	3.13
48.99	3.68
49.08	3.42
49.19	3.24
49.29	3.48
49.42	2.74
49.49	3.14
49.54	3.03
49.63	2.97
49.77	3.59
49.91	2.93
49.99	2.76
50.03	2.72
50.13	2.69
50.27	3.92
50.48	3.03
50.54	2.98
50.70	2.84
50.79	2.98
50.91	2.77
50.99	2.75
51.04	2.71
51.13	2.63
51.27	2.97
51.41	2.78
51.49	2.83
51.52	2.94
51.64	2.97
51.77	3.71
51.98	3.46
52.03	3.04
52.13	3.23
52.20	2.80
52.29	3.10
52.44	2.80
52.63	2.74
52.77	3.04
52.90	2.92
52.98	2.74
53.03	3.10
53.12	3.35
53.27	3.61
53.48	2.88
53.54	2.50
53.68	2.61
53.79	3.11
53.90	3.01
53.98	2.95
54.02	2.78
54.12	2.58
54.23	3.02
54.24	3.03
54.42	2.36
54.49	2.58
54.53	2.57
54.64	2.52
54.77	3.04
54.98	3.03
55.04	3.18
55.18	3.31
55.29	3.46
55.39	3.26
55.43	3.19
55.51	3.20
55.58	2.99
55.69	3.00
55.77	3.18
55.90	2.83
56.00	2.73
56.10	2.65
56.20	2.63
56.27	3.18
56.44	3.33
56.49	3.17
56.54	3.26
56.68	3.25
56.79	3.25
57.02	2.91
57.08	2.61
57.11	2.42
57.20	2.85
57.23	2.76
57.27	2.89
57.34	2.69
57.59	3.42
57.74	2.87
57.86	3.41
57.98	2.81
58.09	3.02
58.12	3.13
58.25	2.73
58.37	2.88
58.45	2.12
58.68	2.75
58.79	2.97
58.92	2.81
58.98	3.19
59.02	3.02
59.07	3.13
59.20	3.34
59.31	2.82
59.37	3.12
59.48	3.05
59.57	2.88
59.61	2.97
59.70	3.68
59.81	3.56
59.85	3.79
59.94	3.59
60.02	3.98
60.10	3.14
60.18	3.60
60.24	3.24
60.30	3.31
60.42	2.76
60.50	2.76
60.57	3.23
60.63	3.24
60.68	3.20
60.70	3.26
60.82	3.11
60.99	2.87
61.07	2.98
61.11	3.19
61.22	3.34
61.35	3.17
61.51	2.83
61.68	2.71
61.81	2.67
61.99	3.28
62.07	3.48
62.19	3.96
62.38	3.65
62.59	3.17
62.71	3.11
62.85	2.96
63.02	2.91
63.18	3.04
63.37	3.11
63.51	3.41
63.57	3.20
63.80	3.19
63.98	3.02
64.07	2.79
64.09	2.70
64.22	3.03
64.35	2.92
64.52	2.81
64.68	2.82
64.79	3.08
64.91	3.41
65.06	2.88
65.07	3.28
65.22	3.16
65.28	3.33
65.32	3.00
65.45	2.64
65.57	2.53
65.60	2.52
65.71	2.66
65.85	2.71
65.97	2.95
66.06	3.13
66.11	3.17
66.27	3.42
66.29	3.28
66.39	3.12
66.49	3.29
66.59	2.76
66.70	2.64
66.83	2.77
66.95	2.70
67.10	2.91
67.25	3.31
67.39	3.07
67.76	3.00
67.86	2.82
68.06	3.26
68.08	3.03
68.09	2.96
68.14	3.15
68.19	3.01
68.31	2.23
68.49	2.82
68.62	3.10
68.66	3.34
68.75	3.43
68.88	3.21
69.02	3.12
69.18	3.16
69.29	2.87
69.36	2.85
69.53	2.42
69.76	2.37
69.97	3.26
70.10	3.34
70.20	2.60
70.27	2.39
70.38	2.80
70.41	2.62
70.51	2.35
70.61	2.47
70.71	2.83
70.84	3.04
70.86	3.26
71.06	3.18
71.29	3.88
71.37	3.54
71.47	3.65
71.60	2.78
71.77	2.83
71.87	2.51
71.98	2.36
72.09	2.43
72.20	2.85
72.31	2.88
72.35	2.98
72.36	3.15
72.80	3.75
72.88	3.01
72.91	2.77
72.97	2.96
73.06	2.68
73.10	2.42
73.25	2.95
73.36	3.02
73.39	3.15
73.54	3.75
73.62	3.57
73.71	3.70
73.83	3.28
73.86	3.86
74.29	2.72
74.46	2.52
74.47	2.50
74.71	2.82
74.80	3.16
74.86	2.68
74.88	2.83
74.98	3.03
75.21	3.07
75.36	2.61
75.44	2.88
75.58	2.44
75.70	2.58
75.75	2.58
75.89	2.54
75.95	2.82
76.03	2.12
76.15	2.14
76.25	2.29
76.36	2.09
76.46	2.66
76.62	2.65
76.75	3.01
76.85	3.03
76.89	3.61
77.04	3.45
77.12	3.16
77.35	2.33
77.42	2.51
77.66	2.57
77.88	2.67
78.02	2.73
78.18	2.71
78.27	2.87
78.30	2.75
78.41	2.93
78.56	3.15
78.75	3.41
78.89	3.22
79.03	3.08
79.11	2.77
79.18	3.03
79.27	3.52
79.33	3.36
79.42	3.24
79.48	3.52
79.69	3.29
79.77	3.14
79.90	2.87
79.94	2.84
80.06	2.26
80.18	2.34
80.26	2.62
80.39	2.61
80.46	2.38
80.53	2.68
80.60	2.45
80.69	2.88
80.79	2.52
80.93	2.80
81.12	2.73
81.27	2.62
81.30	2.47
81.43	2.56
81.79	2.99
81.89	3.27
82.02	3.14
82.13	2.95
82.29	3.00
82.63	2.72
82.77	2.86
82.90	2.63
82.92	2.91
83.06	2.87
83.21	2.98
83.29	2.43
83.39	2.72
83.51	2.64
83.66	2.72
83.75	2.47
83.78	2.47
83.85	2.61
83.99	3.13
84.10	3.05
84.19	3.02
84.27	2.79
84.31	2.62
84.42	2.94
84.56	3.08
84.71	2.88
84.79	2.46
84.90	2.81
85.02	2.54
85.17	3.26
85.34	3.15
85.38	2.95
85.46	3.27
85.48	3.16
85.66	3.02
85.77	2.26
85.84	2.37
85.97	2.32
86.06	2.40
86.17	2.81
86.27	2.50
86.37	2.53
86.47	2.35
86.62	2.67
86.71	2.37
86.85	2.44
86.97	2.53
87.15	3.07
87.26	2.94
87.42	2.93
87.64	2.67
87.72	2.67
87.84	3.06
87.99	2.81
88.16	2.58
88.29	2.39
88.31	2.83
88.46	2.51
88.63	2.66
88.66	2.73
88.79	2.42
88.86	2.77
88.98	2.33
89.05	2.65
89.25	2.40
89.38	2.33
89.53	2.53
89.67	2.37
89.76	2.43
89.85	2.29
89.93	2.55
90.08	2.25
90.26	2.55
90.36	2.45
90.40	2.62
90.53	2.59
90.75	2.33
90.85	2.87
90.98	2.80
91.13	2.72
91.23	2.84
91.26	2.73
91.29	2.81
91.33	2.75
91.56	2.83
91.63	2.86
91.77	2.13
91.88	2.42
92.06	2.49
92.18	2.45
92.25	2.41
92.46	2.51
92.63	2.48
92.74	2.38
92.76	2.52
92.93	2.51
93.13	2.48
93.26	2.41
93.36	2.19
93.52	2.34
93.68	2.44
93.76	2.40
94.04	2.34
94.13	2.62
94.28	2.53
94.39	2.01
94.46	2.36
94.76	2.49
94.86	2.66
95.03	2.53
95.18	2.68
95.33	2.55
95.48	1.96
95.65	1.89
95.76	2.57
96.81	2.80
96.91	2.90
97.09	2.54
97.15	2.63
97.25	2.76
97.47	2.50
97.57	2.44
97.66	2.37
97.83	2.47
97.94	2.45
98.02	2.75
98.16	2.92
98.39	2.75
98.54	2.41
98.67	2.65
98.70	2.55
98.93	1.97
99.11	2.59
99.18	2.49
99.30	2.10
99.37	2.29
99.52	2.22
99.66	2.42
99.80	2.29
99.91	2.67
100.09	2.19
100.21	1.87
100.38	2.24
100.50	2.13
100.59	2.01
100.68	2.19
100.84	2.54
100.95	2.28
101.05	2.44
101.39	2.56
101.57	2.29
101.76	2.22
101.82	2.35
101.97	2.36
102.09	2.47
102.25	2.52
102.27	2.57
102.33	2.50
102.37	2.58
102.63	2.40
102.66	2.45
102.68	2.41
102.82	2.38
102.89	2.61
103.01	2.65
103.08	2.69
103.27	2.64
103.42	2.53
103.55	2.31
103.59	2.29
103.63	2.47
103.68	2.20
103.81	2.32
103.88	2.55
103.98	2.20
104.06	2.38
104.12	2.80
104.16	2.85
104.27	2.75
104.37	3.12
104.39	3.05
104.51	2.57
104.58	2.65
104.80	2.03
104.88	2.40
104.94	2.42
105.10	2.63
105.18	2.69
105.30	2.98
105.36	2.77
105.48	2.69
105.55	2.41
105.68	2.40
105.83	2.34
105.93	2.12
106.02	2.31
106.19	2.29
106.26	2.47
106.38	2.54
106.44	2.75
106.52	2.53
106.68	2.27
106.79	2.37
106.90	1.99
106.98	2.69
107.06	2.49
107.31	2.57
107.40	2.89
107.48	2.71
107.61	2.49
107.72	2.16
107.79	1.84
107.88	2.36
107.94	2.58
107.96	2.43
108.10	2.59
108.18	2.47
108.24	2.50
108.34	2.24
108.43	2.43
108.52	2.28
108.56	2.52
108.68	2.40
108.84	2.45
108.97	2.39
109.09	2.52
109.26	2.64
109.29	2.71
109.38	2.63
109.41	2.51
109.44	2.22
109.54	2.21
109.59	2.32
109.68	2.16
109.75	2.14
109.89	2.58
110.03	2.40
110.06	2.41
110.18	2.47
110.81	2.32
111.05	2.32
111.14	2.57
111.18	2.55
111.31	2.52
111.37	2.35
111.51	2.30
111.64	2.09
111.69	1.94
111.71	2.29
111.77	2.51
111.92	2.53
112.04	2.31
112.18	2.25
112.19	2.39
112.27	2.37
112.46	2.51
112.64	2.73
112.68	2.58
112.80	2.65
112.88	2.63
112.95	2.68
113.14	2.85
113.19	2.65
113.29	2.49
113.46	2.51
113.65	2.53
113.68	2.37
113.89	1.79
114.01	1.91
114.13	2.73
114.19	2.57
114.27	2.64
114.38	2.38
114.43	2.47
114.62	2.57
114.76	2.59
115.14	2.49
115.22	2.44
115.37	2.56
115.54	2.23
115.62	2.44
115.77	2.42
115.95	2.12
116.13	2.49
116.23	2.21
116.26	2.17
116.36	1.73
116.53	2.15
116.62	1.96
116.64	2.24
116.76	2.55
116.81	2.25
116.93	2.40
117.04	2.24
117.20	2.25
117.26	2.52
117.48	2.27
117.61	2.24
117.67	2.65
117.76	2.66
117.87	2.53
118.01	2.23
118.11	2.39
118.26	2.43
118.28	2.36
118.41	2.22
118.64	2.25
118.76	2.31
118.91	2.23
119.09	2.35
119.19	2.38
119.25	2.23
119.71	2.35
119.76	2.27
119.80	2.38
119.93	2.18
120.14	2.21
120.26	2.55
120.44	2.38
120.48	2.62
120.61	2.37
120.76	2.45
121.11	2.20
121.26	2.23
121.32	2.21
121.41	2.15
121.46	2.35
121.70	2.49
121.76	2.44
121.93	2.42
122.11	2.36
122.25	2.31
122.34	2.31
122.61	2.53
122.76	2.47
122.91	2.33
123.13	2.19
123.26	2.18
123.27	2.49
123.48	1.97
123.54	2.15
123.60	2.32
123.71	2.50
123.83	2.33
123.97	2.01
124.34	2.13
124.47	2.36
124.61	2.28
124.72	2.73
124.73	2.75
124.88	2.35
125.02	2.20
125.37	2.12
125.46	1.81
125.58	2.50
125.70	2.44
125.87	2.47
126.08	2.38
126.21	2.24
126.31	2.40
126.37	2.25
126.44	2.58
126.46	2.34
126.55	2.07
126.77	2.30
126.91	2.45
127.06	2.56
127.20	2.28
127.37	2.22
127.58	2.49
127.70	2.31
127.85	2.49
127.87	2.43
128.06	2.94
128.21	2.23
128.35	2.27
128.47	2.48
128.63	2.31
128.81	2.38
128.94	2.46
129.08	2.59
129.19	2.62
129.40	2.28
129.56	2.00
129.71	2.63
129.88	2.49
129.99	2.39
130.16	2.38
130.28	2.24
130.37	2.43
130.58	2.32
130.72	2.29
130.88	2.53
131.06	2.43
131.21	2.35
131.35	2.37
131.50	2.25
131.65	2.32
131.87	2.34
132.03	2.37
132.08	2.48
132.13	2.47
132.24	2.53
132.45	2.39
132.49	2.33
132.57	2.42
132.64	2.47
132.70	2.59
132.80	2.82
132.94	2.46
133.12	2.22
133.31	2.42
133.44	2.39
133.58	2.39
133.74	2.79
133.90	2.39
134.04	2.65
134.20	3.00
134.31	3.09
134.44	3.05
134.54	2.45
134.71	2.56
134.86	2.27
135.00	2.29
135.08	2.32
135.23	2.49
135.24	2.50
135.40	2.53
135.54	2.74
135.64	2.48
135.70	2.49
135.85	2.40
135.91	2.14
136.10	2.55
136.14	2.37
136.24	2.40
136.46	2.60
136.49	2.59
136.58	2.68
136.80	2.61
137.02	2.50
137.14	2.33
137.30	2.12
137.48	2.51
137.65	2.65
137.88	2.70
138.08	2.67
138.12	2.35
138.31	2.45
138.50	2.29
138.69	2.30
138.83	2.12
138.95	2.78
139.02	2.89
139.17	2.62
139.28	2.76
139.39	2.48
139.59	2.65
139.77	2.39
139.80	2.42
140.06	2.51
140.29	2.47
140.44	2.45
140.53	2.33
140.71	2.34
140.80	2.38
140.94	2.37
141.00	1.93
141.19	2.30
141.30	2.48
141.40	2.02
141.59	2.43
141.70	2.23
141.93	2.59
142.07	2.58
142.16	2.37
142.80	2.67
145.36	2.19
147.37	2.18
148.87	2.66
149.59	2.25
150.39	2.28
151.17	2.48
152.67	2.33
