/* DATA DESCRIPTION:
Citation:	Bartoli, G et al. (2005): Stable istotopes of benthic foraminifera of Site 162-984B, doi:10.1594/PANGAEA.315622,
	In Supplement to: Bartoli, Gretta; Sarnthein, Michael; Weinelt, Mara (2006): Late Pliocene millennial-scale climate variability in the northern North Atlantic prior to and after the onset of Northern Hemisphere glaciation, Paleoceanography, 21, PA4205, doi:10.1029/2005PA001185
Project(s):	Institute for Geosciences, Christian Albrechts University, Kiel (GIK/IfG) (URI: http://www.ifg.uni-kiel.de/)
	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
	Impact of Gateways on Ocean Circulation, Climate, and Evolution (OceanGateways) (URI: http://www.passagen.uni-kiel.de)
Coverage:	WEST: -24.0825 * EAST: -24.0825 * SOUTH: 61.4253 * NORTH: 61.4253
	MINIMUM AGE: 2497.670 ka BP * MAXIMUM AGE: 3049.640 ka BP
	DATE/TIME START: 1995-07-25T02:46:00 * DATE/TIME END: 1995-07-28T08:20:00
	MINIMUM DEPTH, sediment: 344.9 m * MAXIMUM DEPTH, sediment: 445.5 m
Event(s):	162-984B * LATITUDE: 61.4253 * LONGITUDE: -24.0825 * ELEVATION: -1648.0 m * DATE/TIME: 1995-07-25T02:46:00 * DATE/TIME 2: 1995-07-28T08:20:00 * RECOVERY: 458.30 m * PENETRATION: 503.70 m * CAMPAIGN: Leg162 (URI: doi:10.2973/odp.proc.ir.162.1996) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 53 cores; 503.7 m cored; 0 m drilled; 91 % recovery
Comment:	Laboratory: Leibniz-Laboratory, University of Kiel, Germany
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Sarnthein, Michael (eMail: ms@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 251
Size:	462 data points
*/
Depth [m]	Age [ka BP]	Foram bent d18O [per mil PDB]
356.210	2581.900	3.55
356.310	2582.290	3.43
356.410	2582.680	3.25
356.910	2584.610	3.28
357.210	2586.030	3.41
357.310	2586.550	3.30
357.410	2587.070	3.10
357.510	2587.580	3.74
357.610	2588.100	3.18
358.310	2591.720	3.74
358.510	2592.750	3.49
358.810	2594.300	4.01
358.910	2594.820	3.80
359.410	2597.400	3.96
359.510	2597.920	3.79
360.410	2602.570	3.92
360.510	2603.090	4.24
360.710	2604.120	3.98
360.810	2604.640	4.03
361.110	2606.190	4.07
361.210	2606.710	4.14
361.510	2608.170	3.94
361.610	2608.520	4.13
361.810	2609.210	3.68
361.910	2609.550	3.87
362.010	2609.900	3.95
362.110	2610.240	3.87
362.210	2610.590	3.75
362.310	2610.930	3.84
362.410	2611.280	3.77
362.610	2611.970	3.69
362.710	2612.310	3.64
363.010	2613.250	3.60
363.210	2613.750	3.65
363.310	2614.000	3.64
363.610	2614.750	3.66
363.710	2615.000	3.48
363.810	2615.330	3.52
364.010	2616.000	3.52
364.110	2616.330	3.53
364.210	2616.670	3.57
364.310	2617.000	3.63
364.810	2618.670	3.52
365.310	2620.290	3.37
365.410	2620.570	3.51
365.610	2621.140	3.41
365.810	2621.710	3.56
366.010	2622.290	3.32
366.310	2623.140	3.46
366.610	2624.000	3.37
366.710	2624.290	3.30
366.810	2624.570	3.33
366.910	2624.860	3.48
367.110	2625.430	3.31
367.310	2626.000	3.39
367.410	2626.290	3.31
367.510	2626.570	3.28
367.810	2627.430	3.41
368.010	2628.000	3.28
368.510	2629.430	3.14
368.710	2630.000	3.29
369.110	2637.500	4.13
369.310	2641.250	3.94
369.410	2643.130	4.10
369.510	2645.000	4.13
369.610	2645.320	4.26
369.810	2645.950	3.86
370.110	2646.890	4.09
370.210	2647.210	3.81
370.310	2647.530	4.02
370.410	2647.840	4.17
370.710	2648.790	3.95
370.810	2649.110	3.88
370.910	2649.420	4.06
371.010	2649.740	3.94
371.110	2650.050	4.00
371.410	2651.000	3.96
371.810	2652.260	4.05
374.010	2659.210	3.93
374.210	2659.840	3.72
374.710	2661.420	3.25
374.910	2662.050	3.73
375.110	2662.680	3.55
375.310	2665.330	3.38
375.610	2671.670	3.43
375.810	2675.000	3.55
376.610	2688.830	3.76
377.110	2690.220	3.74
378.580	2694.180	3.97
378.780	2694.670	3.81
378.810	2694.750	3.28
379.210	2701.000	2.47
379.510	2703.140	3.51
379.710	2703.430	3.93
379.810	2703.570	3.87
379.910	2703.710	3.94
380.110	2704.000	4.06
380.310	2704.290	4.09
380.710	2704.860	3.99
380.810	2705.000	4.06
381.010	2705.560	3.95
381.210	2706.110	3.42
381.410	2706.670	3.04
381.510	2706.940	4.02
381.810	2707.780	3.98
382.010	2708.330	4.01
382.210	2708.890	3.95
382.410	2709.440	3.80
382.810	2710.560	3.06
383.010	2711.110	3.48
383.110	2711.390	3.75
383.510	2712.500	3.79
383.610	2712.780	3.02
384.010	2713.890	3.49
384.110	2714.170	3.59
384.210	2714.440	3.59
384.810	2716.190	3.92
384.910	2716.480	3.64
385.210	2717.370	3.80
385.610	2718.560	3.54
387.010	2722.700	3.87
387.110	2723.000	3.92
387.410	2723.800	3.75
387.530	2724.120	3.67
387.630	2724.390	3.78
387.730	2724.660	3.72
388.510	2726.750	3.76
389.310	2728.890	3.79
389.510	2729.430	3.73
389.710	2729.960	3.51
389.910	2730.500	3.53
390.910	2733.180	3.44
391.210	2733.980	3.45
392.110	2736.390	3.41
392.210	2736.660	3.30
392.510	2737.460	3.34
392.610	2737.730	3.28
392.910	2739.560	2.96
393.110	2741.110	3.11
393.410	2743.440	3.06
393.510	2744.220	3.06
393.610	2745.000	2.88
393.710	2745.430	3.10
393.810	2745.860	2.98
394.010	2746.710	2.91
394.110	2747.140	3.05
394.210	2747.570	2.83
394.310	2748.000	3.20
394.410	2748.600	3.17
394.510	2749.200	3.54
394.710	2750.400	3.20
394.810	2751.000	3.18
394.910	2751.600	2.90
395.010	2752.200	2.86
395.110	2752.800	2.49
395.210	2753.400	2.36
395.310	2754.000	3.02
395.410	2754.600	3.13
395.510	2755.200	3.09
395.610	2755.800	3.21
395.810	2757.000	3.31
396.110	2758.800	2.82
396.310	2760.000	3.39
396.810	2766.430	3.56
397.010	2767.860	3.48
398.070	2775.980	3.58
398.110	2776.170	3.46
398.210	2776.660	3.47
398.510	2778.120	3.54
398.610	2778.610	3.51
398.710	2779.100	3.47
398.810	2779.590	3.57
398.910	2780.070	3.36
399.010	2780.560	3.52
399.110	2781.050	3.39
399.210	2781.540	3.48
399.310	2782.020	3.44
399.410	2782.510	3.31
399.510	2783.000	3.25
399.610	2784.250	3.31
399.710	2785.500	3.20
399.810	2786.750	3.33
399.910	2788.000	3.14
400.010	2790.000	3.21
400.110	2790.710	3.20
400.210	2791.430	3.23
400.310	2792.140	3.22
400.410	2792.860	3.01
400.510	2793.570	3.36
400.710	2795.000	3.37
400.810	2795.300	3.63
401.010	2795.900	3.39
401.110	2796.200	3.34
401.210	2796.500	3.32
401.410	2797.100	3.12
401.510	2797.400	3.12
401.610	2797.700	3.12
401.910	2800.500	3.25
402.010	2801.750	3.25
402.110	2803.000	3.28
402.210	2804.000	3.53
402.410	2810.000	3.54
402.710	2811.150	2.62
402.910	2811.920	3.26
403.410	2813.850	3.08
403.510	2814.230	3.28
403.610	2814.620	2.40
403.710	2815.000	2.92
403.910	2816.200	2.67
404.310	2820.330	2.69
406.510	2839.290	2.55
406.610	2840.000	3.45
407.480	2855.000	3.23
407.710	2855.760	3.24
407.810	2856.090	3.45
407.910	2856.420	2.94
408.110	2857.080	3.16
408.210	2857.410	3.09
408.510	2858.400	3.24
408.610	2858.730	3.30
408.910	2859.720	3.03
409.110	2860.380	2.69
409.210	2860.710	2.53
409.310	2861.040	2.60
409.410	2861.370	2.82
409.510	2861.700	2.54
409.610	2862.030	2.47
409.710	2862.360	2.79
409.810	2862.690	2.52
409.910	2863.020	2.62
410.010	2863.350	2.80
410.110	2863.680	2.88
410.210	2864.010	2.94
410.310	2864.340	3.21
410.410	2864.670	3.06
410.610	2866.000	3.24
410.710	2867.000	3.22
410.810	2868.000	3.23
411.110	2872.500	3.33
411.210	2875.000	3.44
412.110	2879.050	3.38
412.610	2881.680	3.65
413.010	2883.790	3.31
413.610	2886.950	3.16
414.610	2892.210	3.24
415.610	2897.470	3.24
416.110	2901.500	3.28
416.410	2904.130	3.20
416.610	2905.530	2.87
417.140	2908.320	3.35
417.310	2909.210	2.86
417.410	2909.740	3.22
417.510	2910.260	3.29
417.610	2910.790	2.44
417.710	2911.320	3.16
417.810	2911.840	3.04
418.110	2913.420	2.86
418.410	2915.000	3.62
418.510	2915.230	3.52
418.610	2915.460	3.59
418.710	2915.690	3.65
418.910	2916.150	3.56
419.110	2916.620	3.24
422.410	2935.220	3.49
422.610	2936.330	3.59
422.710	2936.890	3.18
422.810	2937.440	3.20
422.910	2938.000	3.40
423.010	2938.860	3.41
423.110	2939.710	3.29
423.610	2944.000	2.88
423.710	2944.860	3.22
423.810	2945.710	3.26
423.910	2946.570	3.27
424.010	2947.430	2.77
424.110	2948.290	3.19
424.210	2949.140	2.82
424.410	2952.500	3.57
424.510	2955.000	3.04
424.610	2957.500	3.34
424.710	2960.000	3.17
424.810	2961.330	3.50
424.910	2962.670	3.06
425.010	2964.000	3.39
425.110	2965.330	3.46
425.210	2966.670	3.13
425.310	2968.000	3.33
425.410	2968.410	3.23
425.510	2968.820	3.86
425.610	2969.240	3.50
426.210	2971.710	3.92
427.210	2975.340	3.79
427.310	2975.520	3.85
427.510	2975.860	3.46
427.710	2976.210	3.44
427.810	2976.380	3.59
428.010	2976.720	3.69
428.110	2976.900	3.03
428.210	2977.070	3.24
428.410	2977.410	3.30
428.510	2977.590	3.10
428.610	2977.760	3.77
429.210	2978.790	3.15
429.910	2980.000	3.36
430.210	2980.600	3.51
431.510	2983.200	3.37
431.610	2983.400	2.96
431.810	2983.800	3.00
431.910	2984.000	2.75
432.310	2984.800	2.81
432.410	2985.000	2.87
432.510	2985.680	2.79
432.610	2986.360	2.74
432.710	2987.050	3.37
432.810	2987.730	2.71
432.910	2988.410	2.80
433.110	2989.770	2.82
433.410	2991.820	3.06
433.510	2992.500	2.56
433.910	2995.230	3.16
434.010	2995.910	2.69
434.110	2996.590	3.25
434.210	2997.270	2.92
434.310	2997.950	2.83
434.410	2998.640	3.03
434.510	2999.320	2.86
434.910	3001.500	3.11
435.210	3003.000	3.52
435.310	3003.500	3.45
435.410	3004.000	3.65
435.610	3005.000	3.26
435.710	3006.000	3.37
435.810	3007.000	3.37
435.910	3008.000	3.54
436.010	3009.000	3.25
436.810	3017.000	3.22
436.910	3018.000	3.29
437.310	3021.250	3.37
437.510	3022.500	3.16
437.810	3024.370	3.17
437.910	3025.000	3.33
438.010	3025.500	3.13
438.110	3026.000	3.05
438.210	3026.500	3.19
438.310	3027.000	3.15
438.410	3027.500	3.12
438.510	3028.000	3.19
438.610	3028.500	3.09
438.710	3029.000	3.07
438.810	3029.500	3.07
438.910	3030.000	3.05
439.010	3030.280	3.08
439.110	3030.560	3.14
439.210	3030.830	2.94
439.310	3031.110	3.15
439.410	3031.390	3.15
439.510	3031.670	3.02
439.610	3031.940	3.04
439.710	3032.220	3.07
439.810	3032.500	2.94
439.910	3032.780	3.14
440.110	3033.330	2.71
440.610	3034.720	2.88
440.710	3035.000	3.08
440.910	3036.670	2.82
441.010	3037.500	3.26
441.110	3038.330	2.95
441.210	3039.170	2.79
441.410	3040.170	3.10
441.610	3040.520	3.11
442.010	3041.210	3.19
442.210	3041.550	3.24
442.310	3041.720	3.39
442.910	3042.760	3.46
443.210	3043.280	3.25
443.510	3043.790	3.17
444.710	3046.790	3.78
444.810	3047.140	3.71
444.910	3047.500	3.86
445.010	3047.860	3.71
445.110	3048.210	3.79
445.310	3048.930	3.73
445.410	3049.290	3.73
445.510	3049.640	3.50
