/* DATA DESCRIPTION:
Citation:	Tian, J et al. (2002): Stable oxygen isotope ratios of Cibicidoides wuellerstorfi from the Plio-Pleistocene section of Site ODP 184-1143 in the South China Sea, doi:10.1594/PANGAEA.132801,
	In Supplement to: Tian, Jun; Wang, Pinxian; Cheng, Xinrong; Li, Qianyu (2002): Astronomically tuned Plio- Pleistocene benthic d18O record from South-China Sea and Atlantic-Pacific comparison, Earth and Planetary Science Letters, 203(3-4), 1015-1029, doi:10.1016/S0012-821X(02)00923-8
Reference(s):	Wang, Pinxian; Tian, Jun; Cheng, Xinrong; Liu, Cho-Teng; Xu, Jian (2003): Carbon reservoir changes preceded major ice-sheet expansion at the mid-Brunhes event, Geology, 31(3), 239-242, doi:10.1130/0091-7613(2003)031<0239:CRCPMI>2.0.CO;2
	Tian, Jun; Wang, Pinxian; Cheng, Xinrong (2004): Development of the East Asian monsoon and Northern Hemisphere glaciation: Oxygen isotope records from the South China Sea, Quaternary Science Reviews, 23(18-1), 2007-2016, doi:10.1016/j.quascirev.2004.02.013
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 113.2851 * EAST: 113.2851 * SOUTH: 9.3619 * NORTH: 9.3619
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 5020.610 ka BP
	DATE/TIME START: 1999-03-03T00:00:00 * DATE/TIME END: 1999-03-10T00:00:00
Event(s):	184-1143 * LATITUDE: 9.3619 * LONGITUDE: 113.2851 * ELEVATION: -2772.3 m * DATE/TIME: 1999-03-03T00:00:00 * DATE/TIME 2: 1999-03-10T00:00:00 * RECOVERY: 1101.80 m * PENETRATION: 1158.20 m * CAMPAIGN: Leg184 (URI: doi:10.2973/odp.proc.ir.184.2000) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 126 cores; 1158.2 m cored; 0 m drilled; 95.1% recovery
Comment:	All benthic foraminiferal data are based on Cibicidoides wuellerstorfi, or Uvigerina peregrina data corrected to C. wuellerstorfi values following the standard of Shackleton and Hall (1983, doi:10.2973/dsdp.proc.69.118.1983), 0.64‰ was subtracted from the delta18O values of U. peregrina
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Intercore correlation
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Mass spectrometer Finnigan MAT 252
	Sedimentation rate [cm/ka] (Sed rate) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: calculated, see reference(s)
Size:	5119 data points
*/
Age [ka BP]	Depth c [mcd]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]
204.500	12.02	3.17	0.98
206.333	12.12	3.06	5.45
208.167	12.22	3.10	5.45
210.000	12.32	2.88	5.45
213.350	12.42	2.68	2.99
218.636	12.82	3.46	7.57
219.281	12.92	3.70	15.50
219.926	13.02	3.16	15.50
221.217	13.22	3.64	15.50
222.507	13.42	3.43	15.50
223.153	13.52	3.11	15.50
223.798	13.62	3.72	15.50
225.734	13.92	3.62	15.50
227.024	14.12	3.90	15.50
227.670	14.22	3.92	15.50
228.315	14.32	3.65	15.50
229.606	14.52	3.67	15.50
230.896	14.72	2.99	15.50
231.542	14.82	3.55	15.50
232.187	14.92	3.73	15.50
232.832	15.02	3.56	15.50
233.477	15.12	3.47	15.50
234.608	15.22	2.99	8.85
236.223	15.32	2.91	6.19
241.069	15.62	3.00	6.19
242.685	15.72	3.16	6.19
244.300	15.82	3.61	6.19
246.300	15.92	3.56	5.00
248.300	16.02	3.67	5.00
252.300	16.22	3.84	5.00
256.100	16.41	3.67	5.00
257.900	16.50	3.70	5.00
259.450	16.60	3.72	6.45
261.000	16.70	3.62	6.45
264.100	16.90	3.55	6.45
265.650	17.00	3.68	6.45
267.200	17.10	3.71	6.45
270.300	17.30	3.77	6.45
271.564	17.40	3.98	7.91
272.829	17.50	3.91	7.91
274.093	17.60	3.56	7.91
276.621	17.80	3.76	7.91
277.886	17.90	3.38	7.91
280.414	18.10	3.45	7.91
281.679	18.20	3.68	7.91
282.943	18.30	3.40	7.91
285.471	18.50	3.19	7.91
286.736	18.60	3.05	7.91
288.000	18.70	2.95	7.91
289.333	18.80	3.30	7.50
290.667	18.90	3.30	7.50
292.000	19.00	2.95	7.50
293.200	19.10	3.40	8.33
294.400	19.20	3.23	8.33
295.600	19.30	3.41	8.33
296.800	19.40	3.43	8.33
298.000	19.50	3.28	8.33
299.200	19.60	3.21	8.33
300.400	19.70	3.18	8.33
301.600	19.80	3.44	8.33
302.800	19.90	3.34	8.33
304.000	20.00	3.07	8.33
308.500	20.10	2.95	2.22
313.000	20.20	3.07	2.22
321.040	20.50	2.77	3.73
323.720	20.60	2.61	3.73
326.400	20.70	2.63	3.73
327.900	20.80	2.42	6.67
329.400	20.90	2.44	6.67
330.900	21.00	2.34	6.67
340.343	21.80	3.88	8.47
342.490	22.00	3.74	9.31
345.926	22.32	3.90	9.31
347.000	22.42	3.76	9.31
349.500	22.52	3.96	4.00
352.000	22.62	3.77	4.00
354.500	22.72	3.76	4.00
359.500	22.92	3.66	4.00
362.000	23.02	3.54	4.00
364.500	23.12	3.82	4.00
367.734	23.22	3.65	3.09
370.969	23.32	3.47	3.09
374.203	23.42	3.45	3.09
380.126	23.52	3.62	1.69
389.980	23.66	3.41	1.42
391.245	23.76	3.48	7.90
392.511	23.86	3.52	7.90
393.776	23.96	3.43	7.90
395.042	24.06	3.38	7.90
396.307	24.16	3.35	7.90
397.573	24.26	3.26	7.90
398.838	24.36	3.29	7.90
402.635	24.66	2.59	7.90
403.900	24.76	2.44	7.90
405.125	24.86	2.44	8.17
406.349	24.96	2.55	8.17
407.574	25.06	2.43	8.17
408.308	25.12	2.31	8.17
409.533	25.22	2.48	8.17
410.484	25.32	3.09	10.51
411.318	25.42	3.18	11.98
412.153	25.52	3.61	11.98
412.987	25.62	3.39	11.98
413.822	25.72	3.90	11.98
414.656	25.82	4.41	11.98
415.491	25.92	4.24	11.98
416.325	26.02	4.46	11.98
418.829	26.32	4.36	11.98
420.497	26.52	4.20	11.98
421.332	26.62	3.35	11.98
422.500	26.76	3.72	11.98
427.386	26.86	3.69	2.05
432.271	26.96	3.84	2.05
437.157	27.06	3.19	2.05
439.800	27.16	3.81	3.78
440.200	27.26	3.45	25.00
440.600	27.36	3.50	25.00
441.000	27.46	3.63	25.00
443.933	27.56	3.63	3.41
446.867	27.66	3.85	3.41
449.800	27.76	3.55	3.41
456.628	27.96	3.20	2.93
476.180	28.56	3.22	3.07
477.840	28.66	3.09	6.02
479.500	28.76	2.91	6.02
481.250	28.86	2.77	5.71
483.000	28.96	2.90	5.71
488.350	29.26	3.13	5.61
492.050	29.46	3.17	5.41
497.933	29.66	2.90	3.40
501.967	29.76	2.99	2.48
512.083	30.06	3.51	2.97
518.167	30.26	3.35	3.29
521.042	30.36	3.14	3.48
523.255	30.46	3.20	4.52
525.467	30.56	3.25	4.52
527.679	30.66	3.39	4.52
529.891	30.76	3.35	4.52
532.103	30.86	2.69	4.52
534.315	30.96	3.25	4.52
535.862	31.06	3.55	6.46
536.966	31.16	2.79	9.06
538.069	31.26	3.73	9.06
539.172	31.36	3.59	9.06
540.276	31.46	3.74	9.06
541.379	31.56	3.68	9.06
542.483	31.66	3.94	9.06
543.586	31.76	3.58	9.06
544.690	31.86	3.74	9.06
545.793	31.96	3.59	9.06
548.000	32.16	3.31	9.06
549.483	32.26	3.50	6.74
552.450	32.46	3.04	6.74
555.417	32.66	3.23	6.74
556.900	32.76	2.95	6.74
558.675	32.86	3.02	5.63
564.000	33.16	3.07	5.63
572.350	33.26	2.88	1.20
580.700	33.36	3.42	1.20
582.760	33.46	3.42	4.85
584.820	33.56	3.54	4.85
586.880	33.66	3.49	4.85
588.940	33.76	3.50	4.85
591.000	33.86	3.28	4.85
594.267	33.96	3.17	3.06
597.533	34.06	2.89	3.06
600.800	34.16	3.43	3.06
602.600	34.26	3.40	5.56
606.200	34.46	3.06	5.56
608.000	34.56	3.10	5.56
611.320	34.66	2.78	3.01
614.640	34.76	2.60	3.01
617.960	34.86	2.95	3.01
621.280	34.96	2.92	3.01
624.600	35.06	3.25	3.01
626.767	35.16	3.66	4.62
628.933	35.26	3.82	4.62
633.267	35.46	4.06	4.62
637.600	35.66	4.04	4.62
639.767	35.76	4.12	4.62
641.933	35.86	4.08	4.62
644.100	35.96	4.22	4.62
646.267	36.06	3.92	4.62
648.433	36.16	4.02	4.62
650.600	36.26	3.90	4.62
655.900	36.36	3.97	1.89
661.200	36.46	3.84	1.89
666.500	36.56	3.70	1.89
667.600	36.66	3.74	9.09
668.700	36.76	3.64	9.09
669.800	36.86	3.63	9.09
670.900	36.96	3.62	9.09
672.000	37.06	3.65	9.09
673.871	37.16	3.67	5.34
681.357	37.56	3.45	5.34
683.229	37.66	3.43	5.34
685.100	37.76	2.89	5.34
688.900	37.86	3.52	2.63
692.700	37.96	3.40	2.63
696.500	38.06	3.13	2.63
700.300	38.16	2.88	2.63
704.100	38.26	3.14	2.63
711.700	38.46	3.04	2.63
712.242	38.56	2.99	18.44
713.219	38.74	3.03	18.44
713.761	38.84	3.15	18.44
714.303	38.94	3.10	18.44
714.846	39.04	3.37	18.44
715.388	39.14	3.48	18.44
715.931	39.24	3.50	18.44
717.015	39.44	3.80	18.44
718.100	39.64	3.77	18.44
727.180	39.74	3.66	1.10
736.260	39.84	3.63	1.10
741.114	39.94	3.87	2.06
741.743	40.04	3.74	15.91
742.371	40.14	3.78	15.91
743.000	40.24	3.56	15.91
744.900	40.34	3.30	5.26
746.800	40.44	3.58	5.26
751.325	40.54	3.81	2.21
755.850	40.64	3.62	2.21
760.375	40.74	3.67	2.21
764.900	40.84	3.48	2.21
765.800	40.94	3.71	11.11
766.700	41.04	3.75	11.11
767.600	41.14	3.41	11.11
768.500	41.24	3.55	11.11
769.400	41.34	3.66	11.11
773.000	41.74	3.58	11.11
773.900	41.84	3.33	11.11
774.800	41.94	3.61	11.11
775.700	42.04	3.34	11.11
776.600	42.14	3.33	11.11
777.500	42.24	3.07	11.11
778.400	42.34	3.06	11.11
779.433	42.44	2.73	9.68
780.467	42.54	2.95	9.68
781.500	42.64	2.99	9.68
785.806	42.74	3.04	2.32
790.111	42.84	2.93	2.32
794.417	42.94	3.18	2.32
797.946	43.04	3.66	2.83
800.312	43.14	3.94	4.23
802.677	43.24	3.74	4.23
805.042	43.34	3.67	4.23
807.408	43.44	3.83	4.23
809.773	43.54	3.76	4.23
812.138	43.64	3.44	4.23
814.504	43.74	3.58	4.23
816.869	43.84	3.52	4.23
819.235	43.94	3.48	4.23
821.600	44.04	3.15	4.23
829.150	44.14	3.84	1.32
836.700	44.24	3.41	1.32
839.057	44.34	3.10	4.24
841.414	44.44	3.25	4.24
843.771	44.54	3.34	4.24
846.129	44.64	3.29	4.24
848.486	44.74	3.45	4.24
850.843	44.84	3.13	4.24
853.200	44.94	2.96	4.24
855.422	45.04	2.78	4.50
862.089	45.34	2.83	4.50
863.652	45.44	3.24	6.40
864.556	45.54	2.95	11.06
865.460	45.64	3.41	11.06
869.076	46.04	3.97	11.06
869.980	46.14	3.67	11.06
870.884	46.24	4.09	11.06
871.788	46.34	3.92	11.06
872.692	46.44	3.86	11.06
873.596	46.54	3.89	11.06
874.500	46.64	3.70	11.06
876.191	46.74	3.72	5.92
878.219	46.86	3.70	5.92
879.909	46.96	3.69	5.92
881.600	47.06	3.72	5.92
885.740	47.16	3.84	2.42
898.160	47.46	3.68	2.42
902.300	47.56	3.48	2.42
904.567	47.66	3.41	4.41
906.833	47.76	3.35	4.41
909.100	47.86	3.50	4.41
911.367	47.96	3.44	4.41
913.633	48.06	3.45	4.41
915.900	48.16	3.49	4.41
918.240	48.26	3.65	4.27
922.920	48.46	3.74	4.27
927.600	48.66	3.15	4.27
928.833	48.76	3.38	8.11
930.067	48.86	3.18	8.11
931.300	48.96	3.18	8.11
933.767	49.16	3.04	8.11
935.000	49.26	2.91	8.11
940.900	49.36	3.01	1.69
946.800	49.46	2.77	1.69
949.400	49.56	2.80	3.85
952.000	49.66	2.67	3.85
954.600	49.76	2.58	3.85
957.200	49.86	2.84	3.85
959.853	49.96	3.47	3.77
965.159	50.16	3.54	3.77
967.812	50.26	3.31	3.77
970.327	50.36	3.14	3.98
971.597	50.46	3.13	7.87
972.868	50.56	3.20	7.87
974.138	50.66	2.68	7.87
981.043	50.76	3.42	1.45
996.400	50.86	3.26	0.65
996.983	50.96	3.35	17.14
997.567	51.06	3.44	17.14
998.150	51.16	3.26	17.14
998.733	51.26	3.23	17.14
999.317	51.36	3.40	17.14
999.900	51.46	3.12	17.14
1005.540	51.66	3.58	3.55
1008.360	51.76	3.55	3.55
1014.000	51.96	3.26	3.55
1016.680	52.06	3.30	3.73
1019.370	52.16	3.28	3.73
1022.050	52.26	2.98	3.73
1024.730	52.36	3.03	3.73
1027.420	52.46	3.18	3.73
1030.100	52.56	3.13	3.73
1032.220	52.66	3.57	4.71
1034.350	52.76	3.59	4.71
1036.470	52.86	3.65	4.71
1038.600	52.96	3.52	4.71
1040.720	53.06	3.46	4.71
1042.840	53.16	3.52	4.71
1044.970	53.26	3.49	4.71
1047.090	53.36	3.56	4.71
1049.210	53.46	3.42	4.71
1051.340	53.56	3.25	4.71
1053.760	53.66	3.53	4.14
1056.470	53.76	3.46	3.69
1059.180	53.86	3.26	3.69
1061.890	53.96	3.19	3.69
1064.600	54.06	2.71	3.69
1067.330	54.16	2.66	3.66
1070.070	54.26	2.59	3.66
1072.800	54.36	2.66	3.66
1074.430	54.56	3.21	12.25
1076.070	54.76	3.32	12.24
1076.880	54.86	3.36	12.25
1077.700	54.96	3.38	12.24
1082.360	55.06	3.40	2.15
1087.010	55.16	3.23	2.15
1095.690	55.36	3.70	2.31
1099.070	55.46	3.68	2.96
1105.820	55.66	3.33	2.96
1109.200	55.76	3.10	2.96
1113.550	55.86	3.24	2.30
1117.900	55.96	3.08	2.30
1124.000	56.06	3.51	1.64
1126.400	56.16	3.42	4.17
1130.830	56.36	3.72	4.52
1134.140	56.56	3.66	6.04
1135.790	56.66	3.66	6.04
1137.450	56.76	3.70	6.04
1139.100	56.86	3.18	6.04
1140.830	56.96	3.41	5.80
1144.280	57.16	3.43	5.80
1146.000	57.26	3.18	5.80
1147.590	57.36	3.38	6.30
1150.760	57.56	3.35	6.30
1153.940	57.76	3.12	6.30
1155.530	57.86	3.04	6.30
1157.120	57.96	2.98	6.30
1158.710	58.06	3.02	6.30
1161.030	58.16	2.87	4.31
1164.080	58.26	2.83	3.28
1167.500	58.36	3.14	2.92
1171.300	58.46	3.24	2.63
1175.100	58.56	3.37	2.63
1184.330	59.06	3.03	5.42
1191.270	59.36	3.54	4.32
1197.000	59.46	3.69	1.74
1201.000	59.56	3.67	2.50
1205.000	59.66	3.69	2.50
1213.000	59.86	3.74	2.50
1213.690	59.96	3.66	14.58
1214.370	60.06	3.55	14.58
1215.060	60.16	3.48	14.59
1215.740	60.26	3.25	14.58
1216.430	60.36	3.21	14.58
1217.800	60.56	2.97	14.58
1219.720	60.66	2.75	5.21
1225.130	60.86	2.86	3.69
1230.200	60.96	2.84	1.97
1232.310	61.06	2.65	4.74
1234.420	61.16	2.75	4.74
1236.530	61.26	2.61	4.74
1243.940	61.56	3.41	4.05
1248.210	61.66	3.68	2.34
1252.490	61.76	3.65	2.34
1256.760	61.86	3.53	2.34
1259.950	61.96	3.11	3.14
1261.920	62.06	3.67	5.07
1263.770	62.16	3.70	5.42
1265.620	62.26	3.49	5.42
1267.460	62.36	3.57	5.42
1269.310	62.46	3.60	5.42
1271.150	62.56	3.34	5.42
1273.000	62.66	3.29	5.42
1275.010	62.76	3.07	4.96
1277.030	62.86	3.11	4.96
1279.040	62.96	2.99	4.96
1281.060	63.06	2.98	4.96
1283.070	63.16	3.00	4.96
1285.090	63.26	2.36	4.96
1287.100	63.36	3.25	4.96
1290.220	63.46	3.52	3.21
1293.340	63.56	3.53	3.21
1296.450	63.66	2.95	3.22
1299.180	63.76	3.63	3.66
1301.550	63.86	3.35	4.23
1306.270	64.06	3.51	4.23
1311.000	64.26	2.72	4.23
1311.500	64.36	3.30	20.00
1313.000	64.66	2.98	20.00
1320.900	64.96	3.31	3.80
1323.530	65.06	3.46	3.80
1326.170	65.16	3.47	3.80
1328.800	65.26	3.50	3.80
1331.150	65.36	3.36	4.26
1333.500	65.46	3.57	4.26
1335.850	65.56	3.59	4.26
1338.200	65.66	3.63	4.26
1340.550	65.76	3.39	4.26
1342.900	65.86	3.50	4.26
1345.100	65.96	3.32	4.55
1347.300	66.06	3.45	4.55
1349.500	66.16	2.82	4.55
1352.070	66.26	2.49	3.90
1354.630	66.36	2.55	3.90
1361.620	66.76	3.35	5.72
1363.100	66.86	3.58	6.78
1364.580	66.96	3.50	6.78
1366.050	67.06	3.34	6.78
1367.530	67.16	3.84	6.78
1369.000	67.26	3.30	6.78
1371.290	67.36	3.56	4.38
1373.570	67.46	3.47	4.37
1375.860	67.56	3.35	4.38
1379.170	67.66	3.08	3.02
1387.830	67.86	3.05	2.31
1391.940	67.96	2.92	2.44
1395.820	68.06	2.88	2.58
1404.090	68.26	3.03	2.42
1407.780	68.42	2.89	4.34
1408.000	68.52	3.06	44.98
1409.170	68.62	3.40	8.57
1410.330	68.72	3.39	8.57
1412.670	68.92	3.72	8.57
1415.000	69.12	3.30	8.57
1418.020	69.22	3.33	3.31
1421.040	69.32	3.32	3.31
1424.060	69.42	3.18	3.31
1427.080	69.52	3.02	3.31
1430.100	69.62	2.82	3.31
1433.660	69.72	2.93	2.81
1437.220	69.82	2.87	2.81
1447.900	70.12	2.67	2.81
1449.330	70.22	2.70	6.98
1452.200	70.42	2.62	6.98
1453.440	70.52	3.07	8.07
1455.920	70.72	3.84	8.06
1457.160	70.82	3.80	8.06
1458.400	70.92	3.66	8.07
1459.640	71.02	3.81	8.06
1462.120	71.22	3.47	8.06
1463.360	71.32	3.29	8.06
1464.600	71.42	3.09	8.06
1468.230	71.52	3.15	2.75
1471.870	71.62	2.83	2.75
1475.500	71.72	3.03	2.75
1478.200	71.82	3.16	3.70
1480.900	71.92	2.72	3.70
1483.600	72.02	3.13	3.70
1486.300	72.12	3.00	3.70
1489.650	72.22	2.82	2.99
1496.670	72.42	3.67	2.85
1500.330	72.52	3.90	2.73
1504.000	72.62	3.93	2.73
1508.550	72.72	3.80	2.20
1513.100	72.82	3.89	2.20
1515.550	72.92	3.83	4.08
1518.000	73.02	3.81	4.08
1520.450	73.12	3.54	4.08
1522.900	73.22	3.24	4.08
1524.230	73.32	3.32	7.50
1525.570	73.42	3.15	7.50
1526.900	73.52	3.04	7.50
1528.230	73.62	3.40	7.50
1529.570	73.72	3.32	7.50
1530.900	73.82	3.96	7.50
1532.230	73.92	3.75	7.50
1533.570	74.02	3.92	7.50
1534.900	74.12	3.87	7.50
1536.230	74.22	3.98	7.50
1537.570	74.32	3.84	7.50
1538.900	74.42	3.81	7.50
1540.230	74.52	3.58	7.50
1541.570	74.62	3.53	7.50
1542.900	74.72	3.39	7.50
1544.590	74.82	3.33	5.93
1546.270	74.92	3.32	5.93
1547.960	75.02	3.37	5.93
1549.640	75.12	3.58	5.93
1551.330	75.22	3.48	5.93
1553.010	75.32	3.22	5.93
1554.700	75.42	2.91	5.93
1557.470	75.52	3.13	3.61
1560.230	75.62	3.32	3.61
1563.000	75.72	3.12	3.61
1566.750	75.82	3.24	2.67
1570.500	75.92	3.78	2.67
1574.250	76.02	3.75	2.67
1578.000	76.12	3.69	2.67
1582.500	76.24	3.42	2.67
1584.460	76.34	3.49	5.11
1586.420	76.44	3.34	5.11
1588.380	76.54	3.30	5.11
1590.330	76.64	3.09	5.11
1594.250	76.84	3.47	5.11
1596.210	76.94	3.42	5.11
1598.170	77.04	3.21	5.11
1600.120	77.14	3.01	5.11
1602.080	77.24	2.90	5.11
1604.040	77.34	2.91	5.11
1606.000	77.44	2.71	5.11
1611.550	77.54	3.18	1.80
1617.100	77.64	2.48	1.80
1627.870	77.84	3.28	1.86
1630.730	77.94	3.14	3.49
1633.600	78.04	3.21	3.49
1634.920	78.14	3.01	7.56
1636.240	78.24	3.06	7.56
1637.570	78.34	2.96	7.56
1638.890	78.44	3.12	7.56
1640.210	78.54	3.01	7.56
1641.530	78.64	3.07	7.56
1642.860	78.74	3.07	7.56
1645.500	78.94	2.89	7.56
1649.100	79.04	3.68	2.78
1652.490	79.14	3.51	2.95
1655.870	79.24	3.52	2.95
1659.260	79.34	3.75	2.95
1664.000	79.48	3.44	2.95
1665.170	79.58	3.53	8.57
1666.330	79.68	3.59	8.57
1667.500	79.78	3.64	8.57
1668.670	79.88	3.26	8.57
1669.830	79.98	3.68	8.57
1671.000	80.08	3.51	8.57
1672.170	80.18	3.59	8.57
1673.330	80.28	3.47	8.57
1674.500	80.38	3.36	8.57
1675.670	80.48	3.09	8.57
1676.500	80.58	2.95	12.00
1677.250	80.68	2.79	13.33
1678.000	80.78	3.14	13.33
1678.750	80.88	3.07	13.33
1679.500	80.98	3.04	13.33
1681.170	81.08	3.12	6.00
1682.830	81.18	3.22	6.00
1684.500	81.28	3.21	6.00
1688.930	81.38	3.11	2.26
1693.370	81.48	3.17	2.26
1697.800	81.58	3.15	2.26
1699.340	81.68	3.72	6.49
1700.880	81.78	3.59	6.49
1702.420	81.88	3.49	6.49
1703.960	81.98	3.45	6.49
1705.510	82.08	3.53	6.49
1707.050	82.18	3.32	6.49
1708.590	82.28	3.14	6.49
