
Scientific Results. Volume 177															
D. Hodell. Ms 177SR-120															
Chapter 9. Table T2.  d18O and d13C for the benthic and planktonic foraminifers. CaCO3. and percent fragmentation of planktonic foraminifers. Site 1089.															

Leg 177. Site 1089. Hole A   				 	 	 	 	 	 	 	 	 	 	 	
 Position: 40 deg 56.1865 min S. 9 deg 53.6447 min E								 	 	 	 	 	 	 	
 Water depth. mbrf ( APC Calc ): 4630.2m															



Site	Hole	Core	Section	IntervalTop(cm)	IntervalBottom(cm)	Depth(modified.mcd)	Age(ka)	d18O.F.bulloides(permil)	d13C.G.bulloides(permil)	d18O.Cibicidoides.(permil)	d13C.Cibicidoides.(permil)	Lab CaCO3.(wt%)	fragmentation.(%)	LabZ
1089	A	2	4	90	91.5	12.28	67.93	2.86	0.63	3.8	-0.87	SIO	15.8	21.6	UF
1089	A	2	4	95	96.5	12.33	68.33	2.74	0.47	3.82	-0.81	SIO	18.3	24.6	UF
1089	A	2	4	97.5	99	12.38	68.73	3.16	0.47	3.94	-1.05	SIO	NA	NA	UF
1089	A	2	4	105	106.5	12.43	69.12	2.8	0.27	3.8	-0.99	SIO	14.3	19.5	UF
1089	A	2	4	110	111.5	12.48	69.52	3.27	0.51	3.71	-0.81	SIO	NA	23.9	UF
1089	A	2	4	115	116.5	12.53	69.92	3.11	0.2	3.79	-0.87	SIO	16.3	51.7	UF
1089	A	2	4	120	121.5	12.58	70.29	2.72	0.14	3.81	-1.09	SIO	18.6	41.3	UF
1089	A	2	4	125	126.5	12.63	70.59	2.9	0.35	3.72	-0.87	SIO	16.2	32	UF
1089	A	2	4	130	131.5	12.68	70.89	2.69	0.27	3.7	-0.89	SIO	NA	30.6	UF
1089	A	2	4	135	136.5	12.73	71.19	2.67	0.22	3.67	-0.68	SIO	NA	29.1	UF
1089	A	2	4	140	141.5	12.78	71.49	3.04	0.43	3.82	-0.45	SIO	NA	41.7	UF
1089	A	2	4	144	145	12.83	71.79	NA	NA	3.67	-0.37	SIO	NA	42.8	UF
1089	A	2	5	0	1.5	12.88	72.09	3.11	0.81	3.64	-0.54	SIO	NA	48	UF
1089	A	2	5	5	6.5	12.93	72.39	2.74	0.12	3.58	-0.68	SIO	26.3	52.3	UF
1089	A	2	5	10	11.5	12.98	72.69	2.79	0.55	3.56	-0.21	SIO	11.6	46.4	UF
1089	A	2	5	15	16.5	13.03	72.99	2.7	0.37	3.59	-0.65	SIO	12.8	21.5	UF
1089	A	2	5	19	21.5	13.08	73.29	2.45	0.38	3.4	-0.23	SIO	16.5	20.5	UF
1089	A	2	5	25	26.5	13.13	73.59	2.61	0.38	3.49	-0.4	SIO	19.7	41.7	UF
1089	A	2	5	30	31.5	13.18	73.89	3.35	0.08	3.54	-0.22	SIO	NA	77	UF
1089	A	2	5	35	36.5	13.23	74.19	3.03	0.95	3.48	-0.04	SIO	NA	51.2	UF
1089	A	2	5	40	41.5	13.28	74.49	2.74	0.76	3.5	-0.14	SIO	29.9	52.8	UF
1089	A	2	5	45	46.5	13.33	74.79	2.94	1	3.52	-0.15	SIO	28.3	48.4	UF
1089	A	2	5	50	51.5	13.38	75.09	2.82	1.14	3.42	-0.45	SIO	NA	65	UF
1089	A	2	5	55	56.5	13.43	75.39	2.61	0.73	3.38	-0.17	SIO	55	39.2	UF
1089	A	2	5	59	61.5	13.48	75.69	2.44	0.36	3.52	-0.51	SIO	19.2	71.2	UF
1089	A	2	5	65	66.5	13.53	75.99	2.43	0.04	3.37	-0.12	SIO	22.3	75.5	UF
1089	A	2	5	70	71.5	13.58	76.3	2.54	0.91	3.52	-0.32	SIO	NA	63	UF
1089	A	2	5	75	76.5	13.63	76.6	2.77	0.66	3.44	-0.23	SIO	31.3	53.1	UF
1089	A	2	5	80	81.5	13.68	76.9	2.68	1.06	3.37	-0.41	SIO	36.8	54.6	UF
1089	A	2	5	85	86.5	13.73	77.2	2.44	0.87	3.43	-0.38	SIO	36.3	58.6	UF
1089	A	2	5	90	91.5	13.78	77.5	2.47	0.64	3.38	0.04	SIO	39.6	56.5	UF
1089	A	2	5	95	96.5	13.83	77.8	2.33	0.56	3.4	-0.31	SIO	41.5	43.2	UF
1089	A	2	5	99	101	13.88	78.1	2.68	0.96	3.18	-0.23	SIO	NA	46.1	UF
1089	A	2	5	105	106.5	13.93	78.4	2.47	0.55	3.33	-0.38	SIO	48.6	52.2	UF
1089	A	2	5	110	111.5	13.98	78.71	2.56	0.92	3.18	-0.27	SIO	NA	51.3	UF
1089	B	2	3	55	56.5	14.05	79.13	2.49	0.88	3.14	0.06	SIO	47.8	43	UF
1089	B	2	3	60	61.5	14.1	79.43	2.33	0.53	3	0.03	SIO	44.4	48.8	UF
1089	B	2	3	65	66.5	14.15	79.73	2.33	0.59	3	-0.2	SIO	40	54.7	UF
1089	B	2	3	69	71.5	14.2	80.03	2.44	0.69	2.96	-0.23	SIO	40.8	53	UF
1089	B	2	3	75	76.5	14.25	80.33	2.48	0.74	2.91	-0.26	SIO	31.9	50.5	UF
1089	B	2	3	80	82.5	14.3	80.63	2.49	0.75	3.04	-0.35	SIO	23.8	64.8	UF
1089	B	2	3	85	86.5	14.35	80.94	2.73	0.49	3.09	-0.4	SIO	22.5	71.4	UF
1089	B	2	3	90	91.5	14.4	81.25	2.31	0.77	2.95	-0.52	SIO	18.3	56.6	UF
1089	B	2	3	95	96.5	14.45	81.72	2.46	0.56	3.03	-0.32	SIO	18.8	74.1	UF
1089	B	2	3	100	101.5	14.5	82.19	2.55	0.7	3.41	-0.7	SIO	NA	77.4	UF
1089	B	2	3	104	106.5	14.55	82.66	2.26	0.27	3.26	-0.42	SIO	19.1	67.1	UF
1089	B	2	3	110	111.5	14.6	83.13	2.46	0.53	3.34	-0.63	SIO	14.8	76.5	UF
1089	B	2	3	115	116.5	14.65	83.6	2.08	0.09	3.23	-0.59	SIO	12.6	53.4	UF
1089	B	2	3	119	121.5	14.7	84.07	2.17	0.28	3.17	-0.82	SIO	13.8	63.3	UF
1089	B	2	3	125	126.5	14.75	84.54	2.25	0.38	3.36	-0.81	SIO	16.4	48.9	UF
1089	B	2	3	130	131.5	14.8	85.02	2.23	0.19	3.3	-0.86	SIO	17.1	54.9	UF
1089	B	2	3	135	136.5	14.85	85.49	2.59	0.36	3.41	-0.62	SIO	21.1	69.5	UF
1089	B	2	3	140	141.5	14.9	85.96	2.72	0.63	3.38	-0.44	SIO	24.8	76.3	UF
1089	B	2	3	145	146.5	NA	86.27	NA	NA	3.42	-0.41	SIO	NA	64.4	UF
1089	B	2	4	0	1.5	15	86.9	2.86	0.49	NA	NA	SIO	NA	62.7	UF
1089	B	2	4	5	6.5	15.05	87.37	2.72	0.96	3.33	-0.29	SIO	27.3	63.1	UF
1089	B	2	4	10	11.5	15.1	87.84	2.72	0.76	3.29	-0.28	SIO	27.8	68.5	UF
1089	B	2	4	15	16.5	15.15	88.31	2.66	0.89	3.34	-0.45	SIO	26.3	66.2	UF
1089	B	2	4	20	21.5	15.2	88.78	2.71	0.77	3.48	-0.54	SIO	26.8	65.7	UF
1089	B	2	4	25	26.5	15.25	89.25	2.53	0.7	3.43	-0.7	SIO	22.9	61.8	UF
1089	B	2	4	30	31.5	15.3	89.72	2.55	0.63	3.26	-0.63	SIO	20.3	60	UF
1089	B	2	4	35	36.5	15.35	90.21	2.35	0.48	3.33	-0.58	SIO	22.1	75.3	UF
1089	B	2	4	40	43	15.4	90.71	2.53	0.69	3.33	-0.42	SIO	18.3	36.7	UF
1089	B	2	4	46	47.5	15.45	91.2	2.81	0.28	3.31	-0.68	SIO	18.6	73.3	UF
1089	B	2	4	50	51.5	15.5	91.7	2.7	0.75	NA	NA	SIO	NA	75.2	UF
1089	B	2	4	55	56.5	15.55	92.2	2.47	0.63	3.31	-0.59	SIO	22	73	UF
1089	B	2	4	60	61.5	15.6	92.69	2.32	0.41	3.24	-0.57	SIO	23	68.5	UF
1089	B	2	4	65	66.5	15.65	93.19	2.48	0.86	3.29	-0.68	SIO	22.7	81.4	UF
1089	B	2	4	69	71.5	15.7	93.69	2.63	0.6	3.2	-0.38	SIO	22.6	77.9	UF
1089	B	2	4	75	76.5	15.75	94.18	2.27	0.44	3.25	-0.33	SIO	21.5	73.6	UF
1089	B	2	4	80	81.5	15.8	94.68	2.48	0.91	3.14	-0.51	SIO	22.8	71.2	UF
1089	B	2	4	85	86.5	15.85	95.17	2.47	1.05	NA	NA	SIO	23.8	80.9	UF
1089	B	2	4	91	93	15.9	95.67	2.56	0.78	NA	NA	SIO	26.8	70.9	UF
1089	B	2	4	95	96.5	15.95	96.17	2.48	0.68	2.9	-0.08	SIO	27.6	72.1	UF
1089	B	2	4	100	101.5	16	96.66	2.42	0.81	3.06	-0.19	SIO	NA	75.6	UF
1089	B	2	4	105	106.5	16.05	97.16	2.54	0.85	3.08	-0.1	SIO	28.4	62.7	UF
1089	B	2	4	110	111.5	16.1	97.66	2.35	0.67	3.09	-0.04	SIO	30.2	70.8	UF
1089	B	2	4	115	116.5	16.15	98.15	2.5	0.62	3.14	-0.2	SIO	31.8	67.5	UF
1089	B	2	4	120	121.5	16.2	98.65	2.41	0.69	3.14	-0.42	SIO	33.1	67.5	UF
1089	B	2	4	125	126.5	16.25	99.13	2.23	0.83	3.07	-0.25	SIO	35.8	63.2	UF
1089	B	2	4	130	131.5	16.3	99.6	2.45	0.74	3.05	-0.13	SIO	37	65.1	UF
1089	B	2	4	135	136.5	16.35	100.07	2.46	0.78	3.2	-0.38	SIO	34.8	59.5	UF
1089	B	2	4	140	141.5	16.4	100.54	2.69	0.73	3.24	-0.19	SIO	36.9	58.7	UF
1089	B	2	4	145	146.5	16.45	101	2.42	0.79	NA	NA	SIO	NA	59.4	UF
1089	B	2	5	0	1.5	16.5	101.47	2.58	0.64	3.13	-0.1	SIO	NA	60.5	UF
1089	B	2	5	5	6.5	16.55	101.94	2.32	0.66	3.38	-0.54	SIO	35.3	64.7	UF
1089	B	2	5	10	11.5	16.6	102.41	2.53	0.77	3.42	-0.34	SIO	27.7	71.9	UF
1089	B	2	5	15	16.5	16.65	102.88	2.17	0.52	NA	NA	SIO	31.6	52	UF
1089	B	2	5	20	21.5	16.7	103.34	2.43	0.4	3.08	-0.55	SIO	22	81.3	UF
1089	B	2	5	25	26.5	16.75	103.81	2.39	0.75	3.14	-0.27	SIO	27	54.7	UF
1089	B	2	5	30	31.5	16.8	104.28	2.51	0.26	3.18	-0.79	SIO	23.7	63.6	UF
1089	B	2	5	35	36.5	16.85	104.7	2.4	0.81	3.3	-0.55	SIO	31.6	55.9	UF
1089	B	2	5	40	41.5	16.9	105.07	2.51	0.77	3.25	-0.64	SIO	36.8	48.7	UF
1089	B	2	5	45	46.5	16.95	105.4	2.68	0.55	3.32	-0.37	SIO	38.3	41.1	UF
1089	B	2	5	50	51.5	17	105.71	2.53	0.23	NA	NA	SIO	NA	34.8	UF
1089	B	2	5	55	56.5	17.05	106	2.67	0.35	3.24	-0.51	SIO	36.8	38.6	UF
1089	B	2	5	60	61.5	17.1	106.28	2.32	0.3	3.3	-0.47	SIO	34.5	35.6	UF
1089	B	2	5	65	66.5	17.15	106.55	2.3	0.32	3.31	-0.69	SIO	33.7	49.6	UF
1089	B	2	5	69	71.5	17.2	106.82	2.52	0.62	3.27	-0.9	SIO	29.8	60.2	UF
1089	B	2	5	75	76.5	17.25	107.08	2.4	0.12	3.31	-0.47	SIO	28.9	57	UF
1089	B	2	5	80	81.5	17.3	107.34	2.31	0.67	3.26	-0.53	SIO	NA	29	UF
1089	B	2	5	85	86.5	17.35	107.6	2.26	0.3	3.26	-0.37	SIO	16.8	79.4	UF
1089	B	2	5	90	91.5	17.4	107.86	2.27	0.2	NA	NA	SIO	14.5	66.7	UF
1089	B	2	5	95	96.5	17.45	108.12	2.3	0.02	3.26	-0.56	SIO	15.1	66	UF
1089	B	2	5	99	101.5	17.5	108.38	2.5	0.46	NA	NA	SIO	NA	78.1	UF
1089	B	2	5	105	106.5	17.55	108.65	2.11	0.5	3.31	-0.47	SIO	14.3	75.3	UF
1089	B	2	5	110	111.5	17.6	108.91	2.3	0.43	3.33	-0.73	SIO	14.4	40.4	UF
1089	B	2	5	115	116.5	17.65	109.18	2.54	0.46	3.3	-0.68	SIO	17.2	71	UF
1089	B	2	5	120	121.5	17.7	109.45	2.38	0.11	3.39	-0.62	SIO	21.1	74.1	UF
1089	B	2	5	125	126.5	17.75	109.73	2.13	0.33	3.37	-0.42	SIO	21.5	79.2	UF
1089	B	2	5	130	131.5	17.8	110.01	2.36	0.66	3.37	-0.38	SIO	23.3	79.4	UF
1089	B	2	5	135	136.5	17.85	110.29	NA	NA	NA	NA	SIO	NA	NA	UF
1089	B	2	5	140	141.5	17.9	110.57	2.73	0.59	3.31	-0.45	SIO	27	76.3	UF
1089	B	2	5	145	146.5	17.95	110.86	2.7	0.28	3.43	-0.57	SIO	NA	53.4	UF
1089	B	2	6	0	1.5	18	111.16	2.79	0.68	NA	NA	SIO	24.7	NA	UF
1089	B	2	6	5	6.5	18.05	111.46	2.39	0.61	3.23	-0.46	SIO	23.3	69.6	UF
1089	B	2	6	10	11.5	18.1	111.76	2.18	0.1	3.39	-0.52	SIO	NA	32.5	UF
1089	B	2	6	15	16.5	18.15	112.06	2.28	0.26	3.3	-0.48	SIO	NA	31.9	UF
1089	B	2	6	20	21.5	18.2	112.38	2.7	0.66	3.31	-0.41	SIO	NA	NA	UF
1089	B	2	6	25	26.5	18.25	112.69	2.42	0.23	3.29	-0.52	SIO	NA	64.8	UF
1089	B	2	6	30	31.5	18.3	113.01	2.59	0.28	3.26	-0.46	SIO	NA	82.7	UF
1089	B	2	6	35	36.5	18.35	113.34	2.33	0.7	3.34	-0.51	SIO	NA	86.7	UF
1089	B	2	6	40	41.5	18.4	113.67	2.28	0.12	3.19	-0.36	SIO	NA	88.3	UF
1089	B	2	6	45	46.5	18.45	114	2.23	0.54	3.15	-0.34	SIO	NA	NA	UF
1089	B	2	6	50	51.5	18.5	114.35	2.61	0.72	2.89	-0.48	SIO	NA	91.4	UF
1089	D	3	4	115	116.5	18.53	114.56	NA	NA	NA	NA	SIO	13.2	NA	UF
1089	D	3	4	120	121.5	18.58	114.91	2.2	0.72	NA	NA	SIO	15.1	63.2	UF
1089	D	3	4	125	126.5	18.63	115.27	2.85	0.39	NA	NA	SIO	13.2	NA	UF
1089	D	3	4	130	131.5	18.68	115.63	2.2	0.18	NA	NA	SIO	12.3	87.5	UF
1089	D	3	4	135	136.5	18.73	116	2.05	0.42	NA	NA	SIO	13.3	NA	UF
1089	D	3	4	140	141.5	18.78	116.37	1.83	0.28	NA	NA	SIO	14.3	86	UF
1089	D	3	4	145	146.5	18.83	116.75	2.5	0.48	2.75	-0.42	SIO	NA	NA	UF
1089	D	3	5	0	1.5	18.88	117.13	2.42	0.38	NA	NA	SIO	NA	90.7	UF
1089	D	3	5	5	6.5	18.93	117.51	2.63	0.21	NA	NA	SIO	15.3	NA	UF
1089	D	3	5	10	11.5	18.98	117.88	2.1	0.41	NA	NA	SIO	17.6	88	UF
1089	D	3	5	15	16.5	19.03	118.26	2.12	0.51	NA	NA	SIO	17.8	NA	UF
1089	D	3	5	20	21.5	19.08	118.61	2.05	0.57	NA	NA	SIO	19.2	90.1	UF
1089	D	3	5	25	26.5	19.13	118.92	2.12	0.66	2.3	-0.04	SIO	19.3	NA	UF
1089	D	3	5	30	31.5	19.18	119.11	2.16	0.61	2.39	-0.17	SIO	22.9	79.5	UF
1089	D	3	5	35	36.5	19.23	119.22	2.36	0.08	2.37	-0.18	SIO	23.5	NA	UF
1089	D	3	5	40	41.5	19.28	119.31	2.02	0.67	2.39	-0.02	SIO	24.6	64.7	UF
1089	D	3	5	45	46.5	19.33	119.4	2.18	0.33	2.39	0.07	SIO	26.3	NA	UF
1089	D	3	5	50	51.5	19.38	119.51	2.3	0.49	NA	0	SIO	NA	64.8	UF
1089	D	3	5	55	56.5	19.43	119.64	1.84	0.74	2.5	-0.26	SIO	30.3	NA	UF
1089	D	3	5	60	61.5	19.48	119.79	1.92	0.6	NA	NA	SIO	30.3	64.9	UF
1089	D	3	5	65	66.5	19.53	119.99	1.81	0.65	NA	NA	SIO	30.4	NA	UF
1089	D	3	5	70	71.5	19.58	120.27	NA	NA	2.66	-0.14	SIO	30.8	60.9	UF
1089	D	3	5	75	76.5	19.63	120.7	NA	NA	2.44	-0.12	SIO	30.3	NA	UF
1089	D	3	5	80	81.5	19.68	121.29	2.1	0.77	2.18	0.01	SIO	28.9	70.6	UF
1089	D	3	5	85	86.5	19.73	121.95	1.87	0.51	2.33	-0.09	SIO	27.3	NA	UF
1089	D	3	5	90	91.5	19.78	122.58	1.79	1.21	2.05	0.09	SIO	28.3	62.7	UF
1089	D	3	5	95	96.5	19.83	123.15	1.84	0.62	1.98	-0.23	SIO	29.3	NA	UF
1089	D	3	5	100	101.5	19.88	123.64	1.9	0.6	2.41	-0.66	SIO	NA	62.6	UF
1089	D	3	5	105	106.5	19.93	124.03	1.92	0.53	2.3	-0.32	SIO	32.2	NA	UF
1089	D	3	5	110	111.5	19.98	124.35	2.12	0.74	2.16	-0.4	SIO	34.8	70.8	UF
1089	D	3	5	115	116.5	20.03	124.66	1.72	0.45	2.32	-0.34	SIO	34.5	NA	UF
1089	D	3	5	120	121.5	20.08	124.98	1.95	0.35	2.28	-0.35	SIO	35	64.6	UF
1089	D	3	5	125	126.5	20.13	125.32	1.73	0.37	2.25	-0.25	SIO	37.9	NA	UF
1089	D	3	5	130	131.5	20.18	125.67	1.92	0.16	2.36	-0.06	SIO	42.2	53.2	UF
1089	D	3	5	135	136.5	20.23	126.02	2.09	0.29	2.35	-0.14	SIO	44.3	NA	UF
1089	D	3	5	140	141.5	20.28	126.38	1.71	0.13	2.37	-0.04	SIO	44.2	24	UF
1089	D	3	5	145	146.5	20.33	126.73	1.63	0.08	2.58	-0.29	SIO	NA	NA	UF
1089	D	3	6	0	1.5	20.38	127.08	1.69	0.04	2.54	-0.09	SIO	NA	35.7	UF
1089	D	3	6	5	6.5	20.43	127.44	1.31	-0.39	2.66	-0.03	SIO	55.3	NA	UF
1089	D	3	6	10	11.5	20.48	127.79	1.27	-0.52	2.85	-0.09	SIO	55.2	35.9	UF
1089	D	3	6	15	16.5	20.53	128.15	1.42	-0.37	2.83	-0.1	SIO	56.6	NA	UF
1089	D	3	6	20	21.5	20.58	128.5	1.06	-0.59	2.74	0.06	SIO	54.8	19.9	UF
1089	D	3	6	25	26.5	20.63	128.85	1.28	-0.47	2.94	-0.14	SIO	58.5	NA	UF
1089	D	3	6	30	31.5	20.68	129.21	1.72	-0.58	3.12	-0.02	SIO	56.1	20.1	UF
1089	D	3	6	35	36.5	20.73	129.56	1.66	-0.64	3.1	-0.07	SIO	61	NA	UF
1089	D	3	6	40	41.5	20.78	129.92	1.82	-0.95	3.28	-0.12	SIO	58.9	25.2	UF
1089	D	3	6	45	46.5	20.83	130.27	2.46	-0.61	3.38	-0.23	SIO	60.9	NA	UF
1089	D	3	6	50	51.5	20.88	130.63	2.43	-0.09	3.47	-0.62	SIO	NA	24	UF
1089	D	3	6	55	56.5	20.93	130.98	2.48	-0.27	3.53	-0.25	SIO	59.4	NA	UF
1089	D	3	6	60	61.5	20.98	131.33	2.35	-0.34	3.67	-0.88	SIO	58.8	20.8	UF
1089	D	3	6	65	66.5	21.03	131.68	2.56	-0.07	3.51	-0.31	SIO	58.8	NA	UF
1089	D	3	6	70	71.5	21.08	132.02	2.84	-0.08	NA	NA	SIO	58.7	35.9	UF
1089	D	3	6	75	76.5	21.13	132.36	2.82	0.11	3.82	-0.94	SIO	57.8	NA	UF
1089	D	3	6	80	81.5	21.18	132.7	2.68	-0.45	3.85	-0.79	SIO	61.2	26.6	UF
1089	D	3	6	85	86.5	21.23	133.04	2.65	-0.13	3.91	-0.54	SIO	59.4	NA	UF
1089	D	3	6	90	91.5	21.28	133.38	2.72	-0.4	4.02	-0.71	SIO	59.9	25.7	UF
1089	D	3	6	95	96.5	21.33	133.72	3.04	0.01	3.97	-0.75	SIO	60.3	NA	UF
1089	D	3	6	100	101.5	21.38	134.06	2.93	NA	3.98	-0.92	SIO	58.3	21.7	UF
1089	D	3	6	105	106.5	21.43	134.4	2.95	-0.48	4.1	-1.14	SIO	57.6	NA	UF
1089	D	3	6	110	111.5	21.48	134.74	3.23	-0.08	4.09	-0.87	SIO	61.2	27.5	UF
1089	D	3	6	115	116.5	21.53	135.08	3.11	-0.38	4.09	-0.88	SIO	62.4	NA	UF
1089	D	3	6	120	121.5	21.58	135.42	2.93	-0.24	4.29	-1	SIO	61.7	17.7	UF
1089	D	3	6	125	126.5	21.63	135.76	3.06	-0.09	4.24	-0.88	SIO	60.7	NA	UF
1089	B	3	1	120	121.5	21.64	135.83	3.35	-0.11	4.18	-0.89	SIO	54.5	15	UF
1089	B	3	1	125	126.5	21.69	136.17	3.13	-0.15	4.22	-0.84	SIO	53.1	13.1	UF
1089	B	3	1	130	131.5	21.74	136.51	3.23	-0.18	4.17	-0.7	SIO	54.4	13.8	UF
1089	B	3	1	135	136.5	21.79	136.85	3.25	-0.18	4.29	-1.03	SIO	55.4	8.7	UF
1089	B	3	1	140	141.5	21.84	137.19	3.1	-0.14	3.97	-0.77	SIO	57.8	NA	UF
1089	B	3	1	145	146.5	21.89	137.53	3.59	-0.08	NA	NA	SIO	56.4	7.6	UF
1089	B	3	2	0	1.5	21.94	137.87	3.21	-0.13	3.97	-0.89	SIO	56.3	12.3	UF
1089	B	3	2	5	6.5	21.99	138.21	3.06	-0.33	4	-0.79	SIO	51.8	22.4	UF
1089	B	3	2	10	11.5	22.04	138.55	3.01	-0.08	4.2	-1.08	SIO	48.9	NA	UF
1089	B	3	2	15	16.5	22.09	138.9	3.29	0.02	3.99	-0.78	SIO	50.1	NA	UF
1089	B	3	2	20	21.5	22.14	139.24	3.16	0.02	4.11	-0.94	SIO	48	6.2	UF
1089	B	3	2	25	26.5	22.19	139.58	3.46	0.17	NA	NA	SIO	46.4	25.3	UF
1089	B	3	2	30	31.5	22.24	139.93	3.25	0.17	4.14	-0.92	SIO	50.7	23.3	UF
1089	B	3	2	35	36.5	22.29	140.27	3.28	-0.24	4.08	-1.04	SIO	51.8	25.6	UF
1089	B	3	2	40	41.5	22.34	140.61	3.31	0.3	4.11	-1.01	SIO	49.6	18.1	UF
1089	B	3	2	45	46.5	22.39	140.95	3.12	-0.11	4.14	-1.18	SIO	47.3	19	UF
1089	B	3	2	50	51.5	22.44	141.3	3.32	0.18	4.07	-0.98	SIO	47.6	27.4	UF
1089	B	3	2	55	56.5	22.49	141.64	3.09	0.03	4.07	-0.98	SIO	47.3	25.9	UF
1089	B	3	2	60	61.5	22.54	141.98	2.94	-0.06	3.93	-0.66	SIO	52.7	21.1	UF
1089	B	3	2	65	66.5	22.59	142.33	3.2	-0.21	4.05	-0.87	SIO	47.8	25.4	UF
1089	B	3	2	70	71.5	22.64	142.67	3.1	-0.15	4.03	-1.17	SIO	45.4	24.5	UF
1089	B	3	2	75	76.5	22.69	143.01	3.02	-0.44	4.14	-1.22	SIO	46.3	27.9	UF
1089	B	3	2	80	81.5	22.74	143.36	2.69	-0.26	4.06	-1.26	SIO	45.2	26.8	UF
1089	B	3	2	85	86.5	22.79	143.7	3.08	-0.11	3.96	-1.18	SIO	42.3	40.6	UF
1089	B	3	2	90	91.5	22.84	144.04	3.17	-0.11	NA	NA	SIO	44.7	15.4	UF
1089	B	3	2	95	96.5	22.89	144.38	2.87	-0.15	4.09	-1.21	SIO	44.8	11.4	UF
1089	B	3	2	100	101.5	22.94	144.72	3.44	-0.25	4.18	-1.17	SIO	44.8	18	UF
1089	B	3	2	105	106.5	22.99	145.06	3.44	0.29	4.06	-0.98	SIO	45.8	28.2	UF
1089	B	3	2	110	111.5	23.04	145.4	3.06	-0.09	4.06	-1.08	SIO	49.8	34.8	UF
1089	B	3	2	115	116.5	23.09	145.74	3.17	0.07	4	-0.96	SIO	47.4	37.5	UF
1089	B	3	2	120	121.5	23.14	146.08	3.27	0.11	4.08	-1.03	SIO	44.9	40.2	UF
1089	B	3	2	125	126.5	23.19	146.42	3.13	-0.17	4.12	-0.99	SIO	47.1	33.9	UF
1089	B	3	2	130	131.5	23.24	146.76	3.33	0	4.08	-1.06	SIO	46.3	41.1	UF
1089	B	3	2	135	136.5	23.29	147.1	3.15	-0.1	4.01	-1	SIO	45.7	47.4	UF
1089	B	3	2	140	141.5	23.34	147.44	2.88	-0.27	4.05	-1.15	SIO	45.9	NA	UF
1089	B	3	2	145	146.5	23.39	147.78	3.19	-0.37	4.03	-1.27	SIO	46.8	NA	UF
1089	B	3	3	0	1.5	23.44	148.12	3.18	-0.34	4.1	-1.19	SIO	51.4	24.9	UF
1089	B	3	3	5	6.5	23.49	148.46	3.34	0.18	4.11	-1.01	SIO	49.5	NA	UF
1089	B	3	3	10	11.5	23.54	148.8	3.39	0.08	3.85	-1.02	SIO	47.4	NA	UF
1089	B	3	3	15	16.5	23.59	149.14	3.06	-0.16	4.02	-1.07	SIO	51.6	NA	UF
1089	B	3	3	20	21.5	23.64	149.48	3.14	-0.33	4.02	-1.06	SIO	53	NA	UF
1089	B	3	3	25	26.5	23.69	149.82	3.12	-0.19	4	-1.14	SIO	52.1	35.3	UF
1089	B	3	3	30	31.5	23.74	150.16	3.21	-0.08	3.9	-0.95	SIO	49.6	NA	UF
1089	B	3	3	35	36.5	23.79	150.49	3.23	-0.16	4.02	-1.05	SIO	49.3	NA	UF
1089	B	3	3	40	41.5	23.84	150.81	3.01	-0.31	3.88	-1.22	SIO	50.8	NA	UF
1089	B	3	3	45	46.5	23.89	151.14	2.96	-0.26	3.95	-1.04	SIO	51.6	NA	UF
1089	B	3	3	50	51.5	23.94	151.46	3.25	-0.03	3.92	-1.14	SIO	51	37.3	UF
1089	B	3	3	55	56.5	23.99	151.78	3.12	-0.01	4.09	-0.8	SIO	51.8	NA	UF
1089	B	3	3	60	61.5	24.04	152.11	3.18	-0.35	4.11	-0.76	SIO	48.7	NA	UF
1089	B	3	3	65	66.5	24.09	152.43	3.1	-0.5	4.12	-1.01	SIO	48.7	NA	UF
1089	B	3	3	70	71.5	24.14	152.76	3.07	-0.14	4.01	-1.31	SIO	49	NA	UF
1089	B	3	3	75	76.5	24.19	153.08	NA	NA	3.99	-1.07	SIO	47.1	25.2	UF
1089	B	3	3	80	81.5	24.24	153.45	3.04	-0.46	NA	NA	SIO	45.4	NA	UF
1089	B	3	3	85	86.5	24.29	153.73	3.07	-0.44	3.96	-1.18	SIO	46.6	NA	UF
1089	B	3	3	90	91.5	24.34	154.06	3.03	-0.34	4.02	-1.26	SIO	44.6	NA	UF
1089	B	3	3	95	96.5	24.39	154.38	3.44	-0.19	4.17	-1.28	SIO	44.1	NA	UF
1089	B	3	3	100	101.5	24.44	154.71	3.33	0.15	4.07	-0.99	SIO	43.2	39.7	UF
1089	B	3	3	105	106.5	24.49	155.03	3.28	0.23	4.11	-1.19	SIO	42.3	NA	UF
1089	B	3	3	110	111.5	24.54	155.36	3.33	0.29	NA	NA	SIO	43.3	NA	UF
1089	B	3	3	115	116.5	24.59	155.68	NA	NA	4.03	-1.27	SIO	43	NA	UF
1089	B	3	3	120	121.5	24.64	156.01	3.34	0	NA	NA	SIO	42.8	NA	UF
1089	B	3	3	125	126.5	24.69	156.33	3.28	-0.05	4.11	-1.17	SIO	42.9	39.6	UF
1089	B	3	3	130	131.5	24.74	156.64	3.38	-0.06	NA	NA	SIO	43.3	NA	UF
1089	B	3	3	135	136.5	24.79	156.96	3.49	0.26	4.03	-1	SIO	41.8	NA	UF
1089	B	3	3	140	141.5	24.84	157.28	3.4	-0.36	4.24	-0.99	SIO	42.9	NA	UF
