Scientific Results, Volume 177
D. Hodell et al., Ms 177SR-120
Chapter 9, Table T4.  d18O and d13C of benthic and planktonic foraminifers and CaCO3 at Site 1090 and piston core TTN057-6.  																


Site/Hole	Core	Section	Interval top (cm)	Interval bottom (cm)	Depth (mcd)	Age (ka)	d18O C. wuellerstorfi (permil)	d13C C. wuellerstorfi (permil)	d18O C. kullenbergi (permil)	d13C C. kullenbergi (permil)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O N. pachyderma (permil)	d13C N. pachyderma (permil)	CaCO3	 (wt%)	Lab
TTNO57-6	PC4	IV	9	11	7.09	237.23	2.94	0.28			2.10	-0.29	1.87	0.09	84.6	UF
TTNO57-6	PC4	IV	12	14	7.12	238.98	3.13	-0.16			2.15	-0.28	2.26	-0.18	85.1	UF
TTNO57-6	PC4	IV	15	17	7.15	240.73	3.18	-0.52	3.18	0.22	2.21	-0.75	2.10	-0.32	81.8	UF
TTNO57-6	PC4	IV	18	20	7.18	242.48	2.90	-0.19	3.13	0.08	2.16	-0.86	2.42	-0.40	84.0	UF
TTNO57-6	PC4	IV	21	23	7.21	243.29	3.41	-0.39			2.63	-0.55	2.26	-0.44	84.3	UF
TTNO57-6	PC4	IV	24	26	7.24	244.11					2.60	-0.53	2.47	-0.60	76.8	UF
TTNO57-6	PC4	IV	27	29	7.27	244.92					2.84	-0.68	2.40	-0.70	71.9	UF
TTNO57-6	PC4	IV	30	32	7.30	245.73					2.79	-0.59	2.50	-0.69	75.3	UF
TTNO57-6	PC4	IV	33	35	7.33	246.54					2.86	-0.42	2.52	-0.30	72.5	UF
TTNO57-6	PC4	IV	36	38	7.36	247.36					3.12	0.00	2.56	-1.16	68.9	UF
TTNO57-6	PC4	IV	39	41	7.39	248.17					3.19	-0.27	2.65	-0.71	66.4	UF
TTNO57-6	PC4	IV	42	44	7.43	249.25					2.93	-0.31	2.64	-0.84	64.9	UF
TTNO57-6	PC4	IV	45	47	7.46	250.07	3.86	-0.42			2.35	0.36	2.46	-0.74	71.1	UF
TTNO57-6	PC4	IV	48	50	7.49	250.88					3.08	-0.09	2.52	-0.80	70.5	UF
TTNO57-6	PC4	IV	51	53	7.52	251.69					3.00	-0.02	2.60	-1.12	73.5	UF
TTNO57-6	PC4	IV	54	56	7.55	252.51					3.10	-0.18	2.54	-0.97	70.8	UF
TTNO57-6	PC4	IV	57	59	7.58	253.32					3.08	-0.25	2.64	-0.74	70.8	UF
TTNO57-6	PC4	IV	60	62	7.61	254.13					3.27	-0.25	2.44	-0.64	66.9	UF
TTNO57-6	PC4	IV	63	65	7.64	254.95					3.18	-0.56	2.52	-0.49	64.3	UF
TTNO57-6	PC4	IV	66	68	7.67	255.76					3.08	-0.01	2.53	-1.01	64.6	UF
TTNO57-6	PC4	IV	69	71	7.70	256.57	3.97	-1.14			3.05	-0.18	2.57	-0.44	64.2	UF
TTNO57-6	PC4	IV	72	74	7.73	257.38					2.92	-0.55	2.59	-0.57	59.6	UF
TTNO57-6	PC4	IV	75	77	7.76	258.20					3.19	-0.68	2.59	-0.56	59.8	UF
TTNO57-6	PC4	IV	78	80	7.79	259.01	4.01	-1.33			2.95	-0.85	2.50	-0.75	53.3	UF
TTNO57-6	PC4	IV	81	83	7.82	260.91	3.93	-1.61			2.94	-0.10	2.63	-0.72	47.4	UF
TTNO57-6	PC4	IV	84	86	7.85	262.82	3.99	-1.04			3.35	0.16	2.89	-0.31	48.2	UF
TTNO57-6	PC4	IV	87	89	7.88	264.72	3.89	-1.10			3.32	0.14			48.5	UF
TTNO57-6	PC4	IV	90	92	7.91	266.62					3.30	0.10	3.00	-0.40	55.7	UF
TTNO57-6	PC4	IV	93	95	7.94	268.52					3.35	0.20	2.82	-0.23	60.8	UF
TTNO57-6	PC4	IV	96	98	7.97	270.43					3.16	-0.22	2.71	-0.86	61.3	UF
TTNO57-6	PC4	IV	99	101	8.00	272.33	3.89	-0.34			3.11	0.37	2.70	-0.14	60.9	UF
TTNO57-6	PC4	IV	102	104	8.03	274.23					2.43	0.26	2.69	0.17	72.2	UF
TTNO57-6	PC4	IV	105	107	8.06	276.13					2.97	0.64	2.73	0.23	61.9	UF
TTNO57-6	PC4	IV	108	110	8.09	278.04					2.79	0.61	2.58	-0.17	67.3	UF
TTNO57-6	PC4	IV	111	113	8.12	279.94					2.48	0.50	2.51	0.01	69.3	UF
TTNO57-6	PC4	IV	114	116	8.15	281.84	3.33	-0.44			2.67	0.27	2.27	0.06	78.0	UF
TTNO57-6	PC4	IV	117	119	8.18	283.74			3.34	-0.39	2.63	0.31	2.05	0.19	78.6	UF
TTNO57-6	PC4	IV	120	122	8.21	285.65			3.32	-0.33	2.51	0.17	1.96	0.20	82.5	UF
TTNO57-6	PC4	IV	123	125	8.24	287.55			3.22	-0.45	2.60	0.11	1.88	0.10	82.7	UF
TTNO57-6	PC4	IV	126	128	8.27	289.45			3.30	-0.67	2.49	0.10	1.95	-0.06	82.1	UF
TTNO57-6	PC4	IV	129	131	8.30	291.35			3.39	-0.59	2.08	-0.03	2.20	0.26	79.4	UF
TTNO57-6	PC4	IV	132	134	8.33	293.26			3.39	-0.74	2.53	0.10	2.40	0.33	77.1	UF
TTNO57-6	PC4	IV	135	137	8.36	295.16	3.33	-0.82			2.77	0.28	2.44	0.27	73.9	UF
TTNO57-6	PC4	IV	138	140	8.39	297.06	3.29	-0.17			2.81	0.26	2.59	0.20	66.9	UF
TTNO57-6	PC4	IV	141	143	8.42	298.96					2.70	0.58	2.40	0.47	65.0	UF
TTNO57-6	PC4	IV	144	146	8.45	300.87	3.34	-0.25	3.37	-0.69	2.75	0.42	2.34	0.44	73.5	UF
TTNO57-6	PC4	IV	147	149	8.48	302.77	3.27	-0.74	3.25	-0.49	2.62	0.15	2.07	0.53	79.3	UF
																
TTNO57-6	PC4	III	0	2	8.51	304.67	3.24	-0.32			2.42	0.28	2.03	0.10	76.8	UF
TTNO57-6	PC4	III	3	5	8.54	306.57	3.27	-0.03			2.46	0.32	2.13	0.18	80.9	UF
TTNO57-6	PC4	III	6	8	8.57	308.48	3.21	-0.21			2.38	0.16	1.97	0.20	81.9	UF
TTNO57-6	PC4	III	9	11	8.60	310.38	3.15	-0.17			2.38	0.24	1.75	-0.05	82.8	UF
TTNO57-6	PC4	III	12	14	8.63	312.28	2.99	-0.09			2.35	0.20			84.2	UF
TTNO57-6	PC4	III	14.5	16.5	8.65	313.87	3.10	0.06			2.35	0.26	1.75	0.17	82.3	UF
TTNO57-6	PC4	III	17	19	8.68	315.45	3.04	-0.26			2.29	0.09	1.84	0.26	81.8	UF
TTNO57-6	PC4	III	20	22	8.71	317.35	3.10	-0.35			2.39	0.54	1.64	0.18	77.3	UF
TTNO57-6	PC4	III	23	25	8.74	319.26	2.91	-0.47	2.74	-0.01	2.21	0.37			76.4	UF
TTNO57-6	PC4	III	26	28	8.76	320.84	2.79	0.09			2.06	0.34	1.38	0.24	84.1	UF
TTNO57-6	PC4	III	29	31	8.79	322.74	2.76	0.06	2.61	0.00	1.78	0.38	1.37	0.36	85.8	UF
TTNO57-6	PC4	III	32	34	8.82	324.65	2.65	-0.06	2.91	0.18	1.78	0.27	1.50	0.33	86.7	UF
TTNO57-6	PC4	III	34	36	8.85	326.23	2.67	-0.01	2.79	-0.01	1.77	0.33	1.29	0.11	86.4	UF
TTNO57-6	PC4	III	37.5	39.5	8.88	328.13	2.72	0.21	2.65	0.07	1.97	0.05	1.35	0.19	81.1	UF
TTNO57-6	PC4	III	40	42	8.91	330.04	2.57	0.08	2.55	-0.01	1.59	-0.15	1.26	0.39	84.4	UF
TTNO57-6	PC4	III	43	45	8.94	331.94	2.60	0.04	2.60	-0.10	1.42	0.07	1.41	0.32	83.6	UF
TTNO57-6	PC4	III	46	48	8.97	333.84	2.86	-0.08	2.77	-0.10	1.80	-0.41	1.53	0.24	85.5	UF
TTNO57-6	PC4	III	49	51	9.00	335.74	3.00	-0.13	2.89	0.01	1.51	-0.67	1.38	0.11	79.5	UF
TTNO57-6	PC4	III	52	54	9.03	337.65	3.12	-0.69	2.81	-0.09	1.95	-0.66	2.08	-0.23	83.7	UF
TTNO57-6	PC4	III	55	57	9.06	339.55	3.12	-0.37	3.03	-0.03	2.19	-0.80	1.96	-0.39	86.8	UF
TTNO57-6	PC4	III	58	60	9.09	340.32	2.97	0.06	2.97	-0.14	2.44	-0.77	2.06	-0.53	84.2	UF
TTNO57-6	PC4	III	61	63	9.12	341.08	3.42	-0.54			2.36	-0.73	2.23	-0.67	86.5	UF
TTNO57-6	PC4	III	64	66	9.15	341.85	3.77	-1.03			2.67	-0.58	2.38	-0.67	83.7	UF
TTNO57-6	PC4	III	67	69	9.18	342.62	4.00	-1.07			2.99	-0.49	2.69	-0.58	79.3	UF
TTNO57-6	PC4	III	70	72	9.21	343.38					2.88	-0.44	2.81	-0.52	76.0	UF
TTNO57-6	PC4	III	73	75	9.24	344.15					2.82	-0.59	2.89	-0.31	75.3	UF
TTNO57-6	PC4	III	75	77	9.27	344.92					3.06	-0.29	3.00	-0.28	70.3	UF
TTNO57-6	PC4	III	78	80	9.30	345.69	4.30	-1.47			2.96	-0.48	3.20	-0.43	68.8	UF
TTNO57-6	PC4	III	81	83	9.33	346.45	4.25	-1.32			3.25	-0.25	3.09	-0.34	67.6	UF
TTNO57-6	PC4	III	84	86	9.36	347.22	4.29	-1.27			3.45	-0.16	2.88	-0.18	67.3	UF
TTNO57-6	PC4	III	87	89	9.39	347.99	4.26	-1.15			3.27	-0.13	2.90	-0.45	69.8	UF
TTNO57-6	PC4	III	90	92	9.42	348.75	4.24	-1.32			3.39	-0.09	2.99	-0.23	71.0	UF
TTNO57-6	PC4	III	93	95	9.45	349.52	4.12	-1.23			3.38	0.23	2.93	-0.33	71.8	UF
TTNO57-6	PC4	III	96	98	9.48	350.29	4.11	-1.54			3.50	0.27	3.06	-0.20	72.9	UF
TTNO57-6	PC4	III	99	101	9.51	351.05	4.13	-1.38			3.37	0.04	2.83	-0.32	72.6	UF
TTNO57-6	PC4	III	102	104	9.54	351.82					3.39	0.20	2.92	-0.43	74.6	UF
TTNO57-6	PC4	III	105	107	9.57	352.59	3.71	-1.24			3.06	-0.22	2.89	-0.40	77.8	UF
TTNO57-6	PC4	III	108	110	9.60	353.36	4.03	-1.10			3.16	-0.27	2.74	-0.40	75.7	UF
TTNO57-6	PC4	III	111	113	9.63	354.12					3.42	0.32	2.81	-0.48	75.7	UF
TTNO57-6	PC4	III	114	116	9.66	354.89					3.21	0.32	2.73	-0.31	78.3	UF
TTNO57-6	PC4	III	117	119	9.69	355.66					3.23	0.25	2.79	-0.45	78.1	UF
TTNO57-6	PC4	III	120	122	9.72	356.42					2.90	-0.27	2.70	-0.48	77.5	UF
TTNO57-6	PC4	III	123	125	9.75	357.19	3.94	-1.21			3.06	-0.17	2.63	-0.18	78.6	UF
TTNO57-6	PC4	III	126	128	9.78	357.96	3.81	-1.05			3.03	-0.10	2.59	-0.29	74.2	UF
TTNO57-6	PC4	III	129	131	9.81	358.72	3.80	-1.17			3.17	0.01	2.69	-0.26	79.8	UF
TTNO57-6	PC4	III	132	134	9.84	359.49	3.72	-1.29			3.30	-0.13	2.65	-0.37	77.8	UF
TTNO57-6	PC4	III	135	137	9.87	360.26			4.07	-1.20	3.03	-0.39	2.65	-0.60	74.3	UF
TTNO57-6	PC4	III	138	140	9.90	361.03	3.86	-1.36			3.21	-0.23	2.64	-0.48	73.8	UF
TTNO57-6	PC4	III	141	143	9.93	361.79	3.88	-1.36			3.07	-0.12	2.68	-0.21	72.3	UF
TTNO57-6	PC4	III	144	146	9.96	362.56	3.69	-1.26			3.22	0.09	2.75	-0.45	72.1	UF
TTNO57-6	PC4	III	148	150	9.99	363.33	3.89	-1.36			3.22	-0.25	2.79	-0.47	70.8	UF
																
TTNO57-6	PC4	II	0	2	10.02	364.20	3.96	-1.16			3.14	-0.04	2.75	-0.37	70.7	UF
TTNO57-6	PC4	II	3	5	10.05	364.96	4.01	-1.15			3.35	0.14	2.67	-0.58	68.1	UF
TTNO57-6	PC4	II	6	8	10.08	365.73	3.94	-1.19			3.23	0.41	2.95	-0.02	68.2	UF
TTNO57-6	PC4	II	9	11	10.11	366.50	3.88	-1.14			3.37	0.18	2.81	-0.47	70.6	UF
TTNO57-6	PC4	II	13	15	10.14	367.26	3.86	-1.29			3.29	0.38	2.75	-0.38	70.6	UF
TTNO57-6	PC4	II	16	18	10.17	368.03	3.76	-1.36			3.25	0.20	2.81	-0.44	74.6	UF
TTNO57-6	PC4	II	19	21	10.20	368.80	3.85	-1.03			3.18	0.16	2.73	-0.17	76.2	UF
TTNO57-6	PC4	II	22	24	10.23	369.56	3.78	-1.11			3.26	0.16	2.77	-0.49	76.8	UF
TTNO57-6	PC4	II	25	27	10.26	370.33	3.81	-1.06			3.04	0.45	2.62	0.02	76.6	UF
TTNO57-6	PC4	II	28	30	10.29	371.10	3.62	-1.02			3.24	0.33	2.58	-0.20	74.0	UF
TTNO57-6	PC4	II	31	33	10.32	371.87					3.05	0.38	2.60	0.08	74.4	UF
TTNO57-6	PC4	II	34	36	10.35	372.63					2.89	-0.14	2.59	-0.02	76.2	UF
TTNO57-6	PC4	II	37	39	10.38	373.40	3.60	-0.75			2.99	0.00	2.46	-0.58	72.8	UF
TTNO57-6	PC4	II	40	42	10.41	374.17					3.05	0.21	2.52	0.02	73.2	UF
TTNO57-6	PC4	II	43	45	10.44	374.93	3.76	-0.83			2.95	0.29	2.43	0.00	76.5	UF
TTNO57-6	PC4	II	46	48	10.47	375.70					3.20	0.61	2.66	0.01	74.4	UF
TTNO57-6	PC4	II	49	51	10.50	376.47	3.54	-0.70			3.11	0.66	2.56	0.26	72.3	UF
TTNO57-6	PC4	II	52	54	10.53	377.23	3.56	-0.61			3.02	0.58	2.54	0.03	77.7	UF
TTNO57-6	PC4	II	55	57	10.56	378.00	3.60	-1.04			2.80	0.52	2.49	0.36	77.5	UF
TTNO57-6	PC4	II	58	60	10.59	378.77	3.66	-0.71			2.92	0.71	2.43	-0.01	79.1	UF
TTNO57-6	PC4	II	61	63	10.62	379.54					2.98	0.71	2.40	0.24	79.6	UF
TTNO57-6	PC4	II	64	66	10.65	380.30					2.94	0.52	2.35	0.22	82.3	UF
TTNO57-6	PC4	II	67	69	10.68	381.07	3.69	-0.75			2.99	0.22	2.37	0.14	80.3	UF
TTNO57-6	PC4	II	70	72	10.71	381.84	3.64	-0.85			2.91	0.32	2.41	-0.07	77.5	UF
TTNO57-6	PC4	II	73	75	10.74	382.60					2.82	0.42	2.39	0.38	76.6	UF
TTNO57-6	PC4	II	76	78	10.77	383.37	3.55	-1.04			2.86	0.71	2.46	0.12	75.0	UF
TTNO57-6	PC4	II	79	81	10.80	384.14					2.90	0.57	2.47	0.43	78.4	UF
TTNO57-6	PC4	II	82	84	10.83	384.90					2.83	0.64	2.29	0.13	78.2	UF
TTNO57-6	PC4	II	85	87	10.86	385.67					3.06	0.76	2.25	0.30	79.8	UF
TTNO57-6	PC4	II	88	90	10.89	386.44					2.86	0.56	2.25	0.38	81.6	UF
TTNO57-6	PC4	II	91	93	10.92	387.20					2.73	0.23	2.05	0.56	82.7	UF
TTNO57-6	PC4	II	94	96	10.95	387.97					2.79	0.55	2.10	0.43	85.8	UF
TTNO57-6	PC4	II	97	99	10.98	388.74	3.17	-0.18			2.72	0.34	1.71	0.32	84.8	UF
TTNO57-6	PC4	II	100	102	11.01	389.51					2.68	0.54	2.01	0.64	83.8	UF
TTNO57-6	PC4	II	103	105	11.04	390.27	3.16	-0.61			2.57	0.48	2.40	0.47	85.7	UF
TTNO57-6	PC4	II	106	108	11.07	391.04					2.75	0.73	2.33	0.48	84.1	UF
TTNO57-6	PC4	II	109	111	11.10	391.81					2.41	0.21	2.10	0.35	86.3	UF
TTNO57-6	PC4	II	112	114	11.13	392.57	3.45	-0.14			2.53	0.12	2.24	0.34	83.8	UF
TTNO57-6	PC4	II	115	117	11.16	393.34	3.37	-0.45			2.53	0.20	2.04	0.39	85.9	UF
TTNO57-6	PC4	II	118	120	11.19	394.11	3.35	-0.32			2.27	0.38	2.27	0.50	83.6	UF
TTNO57-6	PC4	II	121	123	11.22	394.87					2.50	0.39	2.66	0.34	78.7	UF
																
TTNO57-6	PC4	I	0	2	11.25	395.64	3.47	0.28			2.56	0.54	2.74	-0.08		UF
TTNO57-6	PC4	I	3	5	11.28	396.41	3.27	0.22	3.00	0.31	2.32	0.21	2.70	0.37	84.7	UF
TTNO57-6	PC4	I	6	8	11.31	397.18	3.55	0.13			2.68	0.60	2.37	0.20	85.5	UF
TTNO57-6	PC4	I	9	11	11.34	397.94	3.30	0.24			2.53	0.92	2.12	0.47	84.6	UF
TTNO57-6	PC4	I	12	14	11.37	398.71	3.28	0.36			2.42	0.84	1.75	0.82	87.2	UF
TTNO57-6	PC4	I	15	17	11.40	399.48	3.19	0.32			2.49	0.68	1.54	0.52	89.7	UF
TTNO57-6	PC4	I	18	20	11.43	400.24	2.99	0.63			2.41	1.13	1.73	0.77	91.0	UF
TTNO57-6	PC4	I	21	23	11.46	401.01	3.01	0.54			2.33	0.94	1.53	0.55	89.6	UF
TTNO57-6	PC4	I	24	26	11.47	401.27	2.96	0.58			2.34	0.93	1.37	0.66	91.3	UF
TTNO57-6	PC4	I	27	29	11.50	402.03	2.79	0.59			2.23	0.79	1.45	0.86	87.9	UF
TTNO57-6	PC4	I	30	32	11.53	402.80	2.93	0.62	2.82	0.74	2.17	0.61	1.57	0.83	89.9	UF
TTNO57-6	PC4	I	33	35	11.56	403.57	2.80	0.72	2.91	0.69	2.07	0.86	1.49	0.87	89.4	UF
TTNO57-6	PC4	I	36	38	11.59	404.33	2.94	0.59	2.67	0.51	2.06	0.81	1.48	0.68	87.9	UF
TTNO57-6	PC4	I	39	41	11.62	405.10	2.81	0.70	2.77	0.78	2.01	1.01	1.43	0.74	88.1	UF
TTNO57-6	PC4	I	42	44	11.65	405.87					1.84	0.66	1.40	0.75	90.8	UF
TTNO57-6	PC4	I	45	47	11.68	406.64	2.73	0.54	2.78	0.32	1.67	0.60	1.43	0.64	89.4	UF
TTNO57-6	PC4	I	48	50	11.71	407.40	2.69	0.40	2.80	0.61	1.61	0.66	1.29	0.68	90.3	UF
TTNO57-6	PC4	I	51	53	11.74	408.17	2.85	0.73	2.79	0.56	1.63	0.58	1.40	0.66	90.3	UF
TTNO57-6	PC4	I	54	56	11.77	408.94	2.71	0.19	2.87	0.35	1.96	0.75	1.48	0.65	88.0	UF
TTNO57-6	PC4	I	57	59	11.80	409.70			2.68	0.52	2.11	0.81	1.50	0.74	88.6	UF
TTNO57-6	PC4	I	60	62	11.83	410.47	2.76	0.46	2.74	0.42	2.07	0.98	1.30	0.75	87.2	UF
TTNO57-6	PC4	I	63	65	11.86	411.24	2.71	0.60	2.72	0.42	2.14	0.83	1.32	0.69	88.3	UF
TTNO57-6	PC4	I	66	68	11.89	412.00	2.61	0.28	2.70	0.45	2.08	0.98	1.33	0.74	88.5	UF
TTNO57-6	PC4	I	69	71	11.92	412.77	2.65	0.41			2.02	0.80	1.50	0.83	89.6	UF
TTNO57-6	PC4	I	72	74	11.95	413.54	2.75	0.28	2.54	0.25	2.02	0.82	1.57	0.64	88.1	UF
TTNO57-6	PC4	I	75	77	11.98	414.30			2.66	0.23	2.09	1.02	1.46	0.67	90.8	UF
TTNO57-6	PC4	I	76	78	12.01	415.07	2.87	0.16	2.87	0.42	2.20	0.46	1.70	0.76	87.9	UF
TTNO57-6	PC4	I	79	81	12.04	415.84	2.77	0.36			2.17	0.69	1.53	0.71	89.8	UF
																
1090D	2	3	20.5	22.5	12.76	416.35	3.13	0.45			2.37	-0.12			88.9	UF
1090D	2	3	26	28	12.81	417.63	3.14	-0.16			2.38	0.04			92.1	UF
1090D	2	3	30.5	32.5	12.85	418.65	3.16	0.15			2.44	-0.76			88.3	UF
1090D	2	3	36	38	12.91	420.19	3.42	-0.09			2.62	0.04			89.1	UF
1090D	2	3	40.5	42.5	12.95	421.21	3.89	-0.27			2.62	-0.11			90.5	UF
1090D	2	3	46	48	13.01	422.74					2.97	-0.29			87.4	UF
1090D	2	3	50.5	52.5	13.06	424.02	3.18	0.28			3.24	-0.51			84.2	UF
1090D	2	3	56	58	13.11	425.64	4.24	-0.23			3.32	-0.09			82.6	UF
1090D	2	3	60.5	62.5	13.15	426.94	4.29	-0.36			3.34	-0.32			77.8	UF
1090D	2	3	66	68	13.21	428.89	4.37	-0.29			3.68	-0.13			76.2	UF
1090D	2	3	76	78	13.31	432.13	4.45	-1.11			3.79	0.58			68.3	UF
1090D	2	3	80.5	82.5	13.35	433.43	4.31	-1.18			3.48	-0.16			58.3	UF
1090D	2	3	86	88	13.41	435.37	4.41	-1.25			3.70	0.06			57.8	UF
1090D	2	3	90.5	92.5	13.45	436.67	4.35	-1.26			3.19	0.19			54.3	UF
1090D	2	3	96	98	13.51	438.62	4.36	-1.32			3.84	0.30			51.3	UF
1090D	2	3	101	103	13.56	440.24	4.31	-1.17			3.75	0.42			49.3	UF
1090D	2	3	106	108	13.61	441.86	4.27	-1.40			3.66	0.17			53.9	UF
1090D	2	3	110.5	112.5	13.65	443.16	4.21	-1.35			3.74	0.05			54.6	UF
1090D	2	3	116	118	13.71	445.11	4.07	-1.37			3.48	0.05			57.9	UF
1090D	2	3	120.5	122.5	13.76	446.73	4.02	-1.14			3.35	0.20			65.5	UF
1090D	2	3	126	128	13.81	448.35	3.98	-0.24			3.27	0.36			69.8	UF
1090D	2	3	130.5	132.5	13.85	449.65	4.06	-0.80			3.23	0.09			72.3	UF
1090D	2	3	136	138	13.91	451.60	3.87	-0.62			3.08	0.32			75.0	UF
1090D	2	3	140.5	142.5	13.95	452.89	3.90	-0.91			3.09	0.24			74.0	UF
1090D	2	3	146	148	14.01	454.84	3.99	-1.03			3.31	0.54			72.3	UF
1090D	2	4	2	4	14.07	456.79	3.97	-1.21			3.27	0.31			73.5	UF
1090D	2	4	6	8	14.11	458.08	3.96	-0.88			3.21	0.33			70.0	UF
1090D	2	4	10.5	12.5	14.15	459.38	3.97	-1.13			3.49	0.60			67.0	UF
1090D	2	4	16	18	14.21	461.33	3.96	-1.05			3.08	0.53			66.5	UF
1090D	2	4	20.5	22.5	14.26	462.95	3.99	-0.90			3.19	0.72			66.5	UF
1090D	2	4	26	28	14.31	464.57	3.90	-0.62			3.13	0.81			59.2	UF
1090D	2	4	30.5	32.5	14.35	465.87	3.90	-1.03			3.35	0.97			54.6	UF
1090D	2	4	36	38	14.41	467.82	3.78	-0.35			3.02	0.43			64.0	UF
1090D	2	4	40.5	42.5	14.45	469.12	3.86	-0.81			3.05	0.60			63.2	UF
1090D	2	4	46	48	14.51	471.06	3.81	-0.47			3.10	0.41			61.9	UF
1090D	2	4	50.5	52.5	14.56	472.68	3.74	-0.47			2.38	0.86			65.6	UF
1090D	2	4	60.5	62.5	14.65	475.60	3.34	-0.28			2.57	0.74			81.0	UF
1090D	2	4	66	68	14.71	477.55	3.56	-0.70			2.45	0.67			79.0	UF
1090D	2	4	70.5	72.5	14.76	479.17	3.58	0.35			2.70	1.24			83.2	UF
1090D	2	4	76	78	14.81	480.79	3.36	0.71			2.30	0.87			88.1	UF
1090D	2	4	80.5	82.5	14.85	482.09	3.31	0.28			2.52	1.30			84.5	UF
1090D	2	4	86	88	14.91	484.04	3.34	0.37			2.61	1.00			84.2	UF
1090D	2	4	90.5	92.5	14.95	485.34	3.46	0.44			2.50	1.61			86.3	UF
1090D	2	4	96	98	15.01	487.28	3.32	0.60			2.48	1.28			84.9	UF
1090D	2	4	102	104	15.07	489.23	3.22	0.38			2.47	1.01			89.5	UF
1090D	2	4	106	108	15.11	490.53	3.15	0.36			2.49	0.99			88.5	UF
1090D	2	4	110.5	112.5	15.15	491.83	3.06	0.08			2.34	1.14			88.5	UF
1090D	2	4	116	118	15.21	493.77	3.11	0.29			2.27	0.98			91.2	UF
1090D	2	4	120.5	122.5	15.26	495.39	3.11	0.07			2.29	0.97			89.9	UF
1090D	2	4	126	128	15.31	497.02	3.13	0.14			2.34	1.41			87.4	UF
1090D	2	4	131	133	15.36	498.64	3.13	-0.03			2.31	1.12			88.3	UF
1090D	2	4	136	138	15.41	500.26	2.96	0.23			2.36	0.90			87.8	UF
1090D	2	4	141	143	15.46	501.88	3.28	-0.05			2.46	0.84			87.0	UF
1090D	2	4	146	148	15.51	503.50					2.49	0.39			87.6	UF
1090D	2	5	1	3	15.56	505.13	3.80	0.64			2.56	0.46			86.6	UF
1090D	2	5	6	8	15.61	506.75					2.49	0.56			84.3	UF
1090D	2	5	11	13	15.66	508.37					2.72	0.62			87.2	UF
1090D	2	5	16	18	15.71	509.99	3.68	0.57			2.76	0.87			86.2	UF
1090D	2	5	21	23	15.76	511.62	3.52	0.86			2.76	0.47			85.3	UF
1090D	2	5	26	28	15.81	513.24					2.59	0.43			86.3	UF
1090D	2	5	31	33	15.86	514.86	3.56	0.24			2.52	0.62			85.7	UF
1090D	2	5	36	38	15.91	516.48	3.60	0.75			2.66	0.24			86.1	UF
1090D	2	5	41	43	15.96	518.10					2.46	0.18			90.3	UF
1090D	2	5	46	48	16.01	519.73	3.22	0.45			2.45	0.22			89.3	UF
1090D	2	5	51	53	16.06	521.35	3.42	0.63			2.40	0.32			84.1	UF
1090D	2	5	56	58	16.11	522.97	3.10	0.31			2.47	-0.36			88.7	UF
1090D	2	5	61	63	16.16	525.50	3.73	-1.04			2.46	-0.01			82.2	UF
1090D	2	5	66	68	16.21	528.03	3.71	-0.66			2.39	-0.41			84.2	UF
1090D	2	5	71	73	16.26	530.55	3.83	-0.85			2.64	-0.08			82.1	UF
1090D	2	5	76	78	16.31	533.08	3.64	-0.95			2.70	-0.09			78.2	UF
1090D	2	5	81	83	16.36	535.61	3.86	-1.38			2.44	-0.30			81.0	UF
1090D	2	5	86	88	16.41	538.14	3.69	-0.65			2.89	-0.25			72.4	UF
1090D	2	5	91	93	16.46	540.67	3.79	-0.34			2.46	-0.26			71.8	UF
1090D	2	5	96	98	16.51	543.19	3.87	-1.17			2.95	0.00			72.4	UF
1090D	2	5	101	103	16.56	545.72	3.88	-0.96			2.84	-0.10			74.4	UF
1090D	2	5	106	108	16.61	548.25	3.92	-1.14			2.81	-0.38			71.8	UF
1090D	2	5	111	113	16.66	550.78	3.87	-1.15			2.97	0.75			73.0	UF
1090D	2	5	116	118	16.71	553.31					2.67	0.24			73.3	UF
1090D	2	5	121	123	16.76	555.84	3.87	-1.19			2.87	0.22			68.6	UF
																
1090B	3	1	137	139	16.82	558.87	3.78	-1.29			2.64	0.10			67.3	UF
1090B	3	1	142	144	16.87	561.40	3.88	-1.25			2.54	0.10			62.9	UF
1090B	3	1	146	148	16.91	563.42	3.80	-1.07			2.79	-0.13			61.9	UF
1090B	3	2	1	3	16.96	565.95					2.81	0.04			62.9	UF
1090B	3	2	6	8	17.01	568.48	3.74	-0.75			2.32	-0.16			62.3	UF
1090B	3	2	11	13	17.06	571.00	3.59	-0.02			2.18	0.12			65.7	UF
1090B	3	2	16	18	17.11	573.53	3.36	-0.08			2.20	0.58			66.1	UF
1090B	3	2	21	23	17.16	576.06	3.59	-0.74			2.49	0.61			68.0	UF
1090B	3	2	26	28	17.21	578.17					2.55	0.43			76.1	UF
1090B	3	2	31	33	17.26	580.27	3.25	0.31			2.18	0.64			77.5	UF
1090B	3	2	36	38	17.31	582.38	3.20	0.37			1.95	0.30			80.0	UF
1090B	3	2	41	43	17.36	584.49	3.04	-0.61			1.99	-0.07			83.4	UF
1090B	3	2	46	48	17.41	586.59	3.13	-0.39			2.22	0.09			81.2	UF
1090B	3	2	51	53	17.46	588.70					2.07	0.11			80.2	UF
